회사명,거래소코드,회계년도,액면가(원),종가(원)
테스텍,048510,2010/01/04,500,110
테이크시스템즈,076090,2010/01/04,500,530
테크엘,064520,2010/01/04,500,3760
텔레칩스,054450,2010/01/04,500,13000
텔레필드,091440,2010/01/04,500,3285
텔코웨어 보통주,078000,2010/01/04,500,8130
토비스,051360,2010/01/04,500,5300
토자이홀딩스,037700,2010/01/04,500,1005
토탈소프트뱅크,045340,2010/01/04,500,1520
톰보이(보통주),012580,2010/01/04,500,400
톱텍,108230,2010/01/04,500,16700
투미비티,058900,2010/01/04,500,425
트레이스,052290,2010/01/04,500,875
특수건설,026150,2010/01/04,500,13450
티브로드 한빛방송,043890,2010/01/04,5000,23000
티브로드도봉강북방송,035210,2010/01/04,500,3295
티사이언티픽,057680,2010/01/04,500,8680
티씨케이,064760,2010/01/04,500,9300
티에스넥스젠,043220,2010/01/04,500,465
티에스엠텍,066350,2010/01/04,500,12350
티에이치엔보통주,019180,2010/01/04,500,855
티엘씨레저(보통주),014590,2010/01/04,500,670
티엘아이,062860,2010/01/04,500,14900
티와이엠보통주,002900,2010/01/04,5000,7050
티웨이홀딩스보통주,004870,2010/01/04,500,1165
티이씨,067950,2010/01/04,500,125
티이씨앤코보통주,008900,2010/01/04,500,360
티제이미디어,032540,2010/01/04,500,3600
티케이지애강,022220,2010/01/04,500,2920
티케이지휴켐스보통주,069260,2010/01/04,1000,29650
티플랙스,081150,2010/01/04,500,4210
티피씨메카트로닉스,048770,2010/01/04,1000,1735
팅크웨어,084730,2010/01/04,500,13150
파나진,046210,2010/01/04,500,5030
파나케이아,058530,2010/01/04,500,1600
파라다이스,034230,2010/01/04,500,3900
파라텍,033540,2010/01/04,500,2495
파루,043200,2010/01/04,500,2055
파미셀보통주,005690,2010/01/04,5000,39100
파브코 (보통주),101990,2010/01/04,500,1495
파세코,037070,2010/01/04,500,3495
파워로직스,047310,2010/01/04,500,10650
파인디앤씨,049120,2010/01/04,500,3405
파인디지털,038950,2010/01/04,500,3155
파인테크닉스,106240,2010/01/04,500,4840
파커스,065690,2010/01/04,500,10350
파트론,091700,2010/01/04,500,13900
팜스코보통주,036580,2010/01/04,500,2260
팜스토리,027710,2010/01/04,500,800
팜젠사이언스보통주,004720,2010/01/04,500,625
팬스타엔터프라이즈,054300,2010/01/04,500,660
팬엔터테인먼트,068050,2010/01/04,500,4800
팬오션보통주,028670,2010/01/04,1000,11300
퍼스텍보통주,010820,2010/01/04,500,1810
퍼시스보통주,016800,2010/01/04,1000,28500
페이퍼코리아보통주,001020,2010/01/04,5000,8250
평산,089480,2010/01/04,500,21450
평산차업집단 KDR,950010,2010/01/04,0,3125
평안물산,037240,2010/01/04,500,1865
평화산업 주식회사 보통주,090080,2010/01/04,500,1300
평화홀딩스보통주,010770,2010/01/04,500,2265
포네이처,045290,2010/01/04,500,330
포스코스틸리온보통주,058430,2010/01/04,5000,24200
포스코아이씨티,022100,2010/01/04,500,6410
포스코엠텍,009520,2010/01/04,5000,19700
포스코인터내셔널보통주,047050,2010/01/04,5000,33300
포스코켐텍,003670,2010/01/04,5000,49550
포스코플랜텍 보통주,051310,2010/01/04,500,7730
포스코홀딩스보통주,005490,2010/01/04,5000,612000
포휴먼,049690,2010/01/04,500,9430
폴라리스오피스,041020,2010/01/04,500,38450
폴루스바이오팜보통주,007630,2010/01/04,1000,1285
폴리플러스,065610,2010/01/04,500,2820
폴켐,033190,2010/01/04,500,445
푸드웰,005670,2010/01/04,5000,26900
푸른기술,094940,2010/01/04,500,3760
푸른상호저축은행,007330,2010/01/04,1000,3170
풀무원보통주,017810,2010/01/04,5000,52600
풍국주정공업,023900,2010/01/04,500,5080
풍림산업(보통주),001310,2010/01/04,5000,2605
풍산 보통주,103140,2010/01/04,5000,21300
풍산홀딩스보통주,005810,2010/01/04,5000,20250
퓨쳐인포넷,058690,2010/01/04,500,985
프럼파스트,035200,2010/01/04,500,3460
프로텍,053610,2010/01/04,500,8030
프리엠스,053160,2010/01/04,500,2105
프리젠,060910,2010/01/04,500,180
플래스크,041590,2010/01/04,500,1640
플랜티넷,075130,2010/01/04,500,4110
플레이그램보통주,009810,2010/01/04,500,765
플레이위드,023770,2010/01/04,500,3230
플렉스컴,065270,2010/01/04,500,6790
피델릭스,032580,2010/01/04,500,2085
피씨디렉트,051380,2010/01/04,500,2755
피에스케이홀딩스,031980,2010/01/04,500,7000
피에스텍,002230,2010/01/04,500,5030
피에이치씨,057880,2010/01/04,500,4050
피에이치에이,043370,2010/01/04,500,8150
피엔풍년,024940,2010/01/04,5000,9170
피엘에이,082390,2010/01/04,500,3065
피제이전자,006140,2010/01/04,5000,27450
하나금융지주보통주,086790,2010/01/04,5000,33350
하나마이크론,067310,2010/01/04,500,7000
하나투어,039130,2010/01/04,500,51200
하림홀딩스,024660,2010/01/04,500,3095
하이드로리튬,101670,2010/01/04,500,6300
하이드로젠파워,070080,2010/01/04,500,1365
하이록코리아,013030,2010/01/04,500,11500
하이스마텍,057100,2010/01/04,500,575
하이스틸 보통주,071090,2010/01/04,5000,13900
하이트론씨스템즈보통주,019490,2010/01/04,2500,4480
하이트맥주 (보통주),103150,2010/01/04,5000,170000
하이트진로보통주,000080,2010/01/04,5000,39950
하이트진로홀딩스보통주,000140,2010/01/04,5000,28850
하츠,066130,2010/01/04,500,2085
한국가구,004590,2010/01/04,1000,11700
한국가스공사보통주,036460,2010/01/04,5000,47550
한국경제티브이,039340,2010/01/04,500,3730
한국고덴시(보통주),027840,2010/01/04,500,3500
한국공항보통주,005430,2010/01/04,5000,32950
한국기업평가,034950,2010/01/04,5000,16950
한국내화보통주,010040,2010/01/04,500,3460
한국단자공업보통주,025540,2010/01/04,500,18700
한국석유공업보통주,004090,2010/01/04,5000,50500
한국선재,025550,2010/01/04,500,2420
한국수출포장공업보통주,002200,2010/01/04,5000,12200
한국쉘석유보통주,002960,2010/01/04,5000,118000
한국알콜산업,017890,2010/01/04,500,4770
한국앤컴퍼니보통주,000240,2010/01/04,500,25050
한국외환은행(보통주),004940,2010/01/04,5000,14600
한국유나이티드제약 보통주,033270,2010/01/04,500,6630
한국유리공업보통주,002000,2010/01/04,5000,21600
한국전기초자(보통주),009720,2010/01/04,5000,28050
한국전력공사보통주,015760,2010/01/04,5000,34250
한국전력기술 보통주,052690,2010/01/04,200,59400
한국전자금융,063570,2010/01/04,500,2800
한국전자홀딩스보통주,006200,2010/01/04,500,1950
한국정밀기계,101680,2010/01/04,500,40300
한국정보공학,039740,2010/01/04,500,2435
한국정보통신,025770,2010/01/04,500,1460
한국제지보통주,002300,2010/01/04,5000,36150
한국조선해양보통주,009540,2010/01/04,5000,172000
한국주강보통주,025890,2010/01/04,500,4750
한국주철관공업보통주,000970,2010/01/04,500,4585
한국철강보통주,104700,2010/01/04,5000,44400
한국카본보통주,017960,2010/01/04,500,7450
한국캐피탈,023760,2010/01/04,500,525
한국컴퓨터,054040,2010/01/04,500,2365
한국콜마홀딩스보통주,024720,2010/01/04,500,3650
한국큐빅,021650,2010/01/04,500,1965
한국테크놀로지,053590,2010/01/04,500,3325
한국토지신탁,034830,2010/01/04,1000,975
한국투자금융지주보통주,071050,2010/01/04,5000,34250
한국특강보통주,007280,2010/01/04,5000,56800
한국팩키지,037230,2010/01/04,500,800
한국프랜지공업보통주,010100,2010/01/04,5000,10500
한국화장품제조보통주,003350,2010/01/04,500,2715
한글과컴퓨터,030520,2010/01/04,500,5870
한네트,052600,2010/01/04,500,2450
한농화성보통주,011500,2010/01/04,500,3665
한독보통주,002390,2010/01/04,500,13050
한라보통주,014790,2010/01/04,5000,27650
한라아이엠에스,092460,2010/01/04,500,6570
한림창업투자,021060,2010/01/04,500,625
한미글로벌건축사사무소보통주,053690,2010/01/04,500,16150
한미반도체보통주,042700,2010/01/04,500,7200
한미사이언스보통주,008930,2010/01/04,2500,127000
한빛소프트,047080,2010/01/04,500,3860
한샘보통주,009240,2010/01/04,1000,11300
한섬보통주,020000,2010/01/04,500,16150
한성기업보통주,003680,2010/01/04,5000,12950
한세실업보통주,105630,2010/01/04,500,7410
