회사명,거래소코드,회계년도,액면가(원),종가(원)
AK홀딩스보통주,006840,2015/01/02,5000,85100
BGF보통주,027410,2015/01/02,1000,74400
BNK금융지주보통주,138930,2015/01/02,5000,14400
BYC보통주,001460,2015/01/02,5000,262500
CJ보통주,001040,2015/01/02,5000,157500
CJ씨푸드보통주,011150,2015/01/02,500,2545
CMG제약,058820,2015/01/02,500,930
CS홀딩스보통주,000590,2015/01/02,5000,81300
DB Inc.보통주,012030,2015/01/02,5000,2215
DB금융투자보통주,016610,2015/01/02,5000,3690
DB손해보험보통주,005830,2015/01/02,500,54900
DB하이텍보통주,000990,2015/01/02,5000,4645
DGB금융지주보통주,139130,2015/01/02,5000,11200
DI동일보통주,001530,2015/01/02,5000,74100
DL건설보통주,001880,2015/01/02,5000,13000
DL보통주,000210,2015/01/02,5000,64500
DSR보통주,155660,2015/01/02,500,3700
DSR제강보통주,069730,2015/01/02,500,3200
E1보통주,017940,2015/01/02,5000,68700
ES큐브,050120,2015/01/02,500,1415
F&F홀딩스,007700,2015/01/02,500,15600
GS건설보통주,006360,2015/01/02,5000,22400
GS보통주,078930,2015/01/02,5000,39850
HDC보통주,012630,2015/01/02,5000,39050
HJ중공업보통주,097230,2015/01/02,5000,4100
IHQ보통주,003560,2015/01/02,500,3150
JB금융지주보통주,175330,2015/01/02,5000,6000
JW중외제약보통주,001060,2015/01/02,2500,14200
JW홀딩스 보통주,096760,2015/01/02,500,2405
KB KBSTAR 단기통안채증권상장지수투자신탁(채권),196230,2015/01/02,0,100715
KB KBSTAR 레버리지증권상장지수투자신탁(주식-파생재간접형),123760,2015/01/02,0,9275
KB KBSTAR 일본레버리지증권상장지수투자신탁(주식-재간접파생형)(H),196220,2015/01/02,0,12640
KB KBSTAR 중국본토대형주CSI100증권상장지수자투자신탁(주식),174360,2015/01/02,0,13930
KB금융지주 보통주,105560,2015/01/02,5000,36000
KB손해보험보통주,002550,2015/01/02,500,27000
KB오토시스,024120,2015/01/02,500,3910
KCTC 보통주,009070,2015/01/02,500,2980
KD,044180,2015/01/02,100,126
KG스틸보통주,016380,2015/01/02,5000,1395
KG케미칼보통주,001390,2015/01/02,5000,16650
KH 필룩스보통주,033180,2015/01/02,500,2270
KISCO홀딩스보통주,001940,2015/01/02,5000,49200
KPX케미칼보통주,025000,2015/01/02,5000,58700
KPX홀딩스보통주,092230,2015/01/02,5000,75800
KR모터스보통주,000040,2015/01/02,500,1045
LF보통주,093050,2015/01/02,5000,29300
LG디스플레이보통주,034220,2015/01/02,5000,32250
LG보통주,003550,2015/01/02,5000,61900
LG생명과학보통주,068870,2015/01/02,5000,37250
LG생활건강보통주,051900,2015/01/02,5000,618000
LG유플러스보통주,032640,2015/01/02,5000,11600
LG이노텍보통주,011070,2015/01/02,5000,111500
LG전자보통주,066570,2015/01/02,5000,58800
LG화학보통주,051910,2015/01/02,5000,180000
LS ELECTRIC보통주,010120,2015/01/02,5000,59100
LS네트웍스보통주,000680,2015/01/02,5000,3990
LS보통주,006260,2015/01/02,5000,53900
LX인터내셔널보통주,001120,2015/01/02,5000,29250
MDS테크,086960,2015/01/02,500,21450
MH에탄올보통주,023150,2015/01/02,500,7310
NAVER보통주,035420,2015/01/02,500,731000
NHN보통주,181710,2015/01/02,500,92900
NH농협증권(보통주),016420,2015/01/02,5000,7240
NICE보통주,034310,2015/01/02,500,15300
NI스틸보통주,008260,2015/01/02,500,2375
NPC보통주,004250,2015/01/02,500,5490
OCI보통주,010060,2015/01/02,5000,77000
S-Oil보통주,010950,2015/01/02,2500,48600
SBS미디어홀딩스보통주,101060,2015/01/02,500,4130
SGC에너지보통주,005090,2015/01/02,5000,63200
SG글로벌보통주,001380,2015/01/02,500,1310
SHD보통주,001770,2015/01/02,5000,12200
SH에너지화학보통주,002360,2015/01/02,500,1750
SIMPAC보통주,009160,2015/01/02,500,4955
SJM보통주,123700,2015/01/02,500,6970
SJM홀딩스보통주,025530,2015/01/02,500,4700
SKC보통주,011790,2015/01/02,5000,26250
SK가스보통주,018670,2015/01/02,5000,90000
SK네트웍스보통주,001740,2015/01/02,2500,8820
SK보통주,003600,2015/01/02,5000,163000
SK보통주,034730,2015/01/02,200,230500
SK이노베이션 보통주,096770,2015/01/02,5000,84000
SK증권보통주,001510,2015/01/02,500,883
SK텔레콤보통주,017670,2015/01/02,500,272500
SNT모티브보통주,064960,2015/01/02,5000,41150
SNT에너지보통주,100840,2015/01/02,500,15300
SNT중공업보통주,003570,2015/01/02,2500,8500
SNT홀딩스보통주,036530,2015/01/02,500,19500
SPC삼립보통주,005610,2015/01/02,5000,155000
STX보통주,011810,2015/01/02,2500,375
STX엔진보통주,077970,2015/01/02,2500,3510
STX중공업보통주,071970,2015/01/02,2500,1410
TBH글로벌보통주,084870,2015/01/02,500,14100
TCC스틸보통주,002710,2015/01/02,1000,2670
WISCOM보통주,024070,2015/01/02,500,5500
가비아,079940,2015/01/02,500,6590
가온미디어,078890,2015/01/02,500,9090
가온전선보통주,000500,2015/01/02,5000,24000
감성코퍼레이션,036620,2015/01/02,500,1430
강남제비스코보통주,000860,2015/01/02,1000,50700
강원랜드보통주,035250,2015/01/02,500,30300
강원에너지,114190,2015/01/02,500,2130
갤럭시아머니트리,094480,2015/01/02,500,2920
갤럭시아에스엠보통주,011420,2015/01/02,500,1660
경남기업보통주,000800,2015/01/02,5000,4475
경남스틸,039240,2015/01/02,500,7630
경남에너지보통주,008020,2015/01/02,500,6000
경남은행보통주,192520,2015/01/02,5000,11900
경남제약,053950,2015/01/02,500,2240
경농보통주,002100,2015/01/02,500,4830
경동나비엔보통주,009450,2015/01/02,1000,26250
경동인베스트보통주,012320,2015/01/02,5000,108000
경동제약,011040,2015/01/02,1000,24250
경방보통주,000050,2015/01/02,5000,187500
경인양행보통주,012610,2015/01/02,500,4400
경인전자보통주,009140,2015/01/02,5000,19700
경창산업,024910,2015/01/02,500,8780
계룡건설산업보통주,013580,2015/01/02,5000,9220
계양전기보통주,012200,2015/01/02,500,4100
고려개발보통주,004200,2015/01/02,5000,1995
고려산업보통주,002140,2015/01/02,1000,1910
고려시멘트,198440,2015/01/02,100,2045
고려신용정보,049720,2015/01/02,500,1370
고려아연보통주,010130,2015/01/02,5000,405500
고려제강보통주,002240,2015/01/02,1000,41350
고려제약,014570,2015/01/02,500,4055
고영테크놀러지,098460,2015/01/02,500,45300
골드앤에스,035290,2015/01/02,500,3700
골드퍼시픽,038530,2015/01/02,500,1295
골프존뉴딘홀딩스,121440,2015/01/02,500,26800
광동제약보통주,009290,2015/01/02,1000,10450
광림,014200,2015/01/02,1000,1560
광명전기보통주,017040,2015/01/02,500,2350
광무,029480,2015/01/02,500,780
광전자보통주,017900,2015/01/02,500,1610
광주신세계보통주,037710,2015/01/02,5000,307000
광주은행보통주,192530,2015/01/02,5000,9490
광진실업,026910,2015/01/02,500,2395
교보증권보통주,030610,2015/01/02,5000,8200
구영테크,053270,2015/01/02,500,1380
국도화학보통주,007690,2015/01/02,5000,40450
국동보통주,005320,2015/01/02,500,10050
국보디자인,066620,2015/01/02,500,13450
국보보통주,001140,2015/01/02,5000,12750
국순당,043650,2015/01/02,500,5870
국영지앤엠,006050,2015/01/02,500,1000
국일신동,060480,2015/01/02,500,2315
국일제지,078130,2015/01/02,5000,6520
국제약품보통주,002720,2015/01/02,1000,2320
그래디언트,035080,2015/01/02,500,9310
그랜드코리아레저보통주,114090,2015/01/02,500,32900
그린케미칼보통주,083420,2015/01/02,500,6050
극동유화보통주,014530,2015/01/02,5000,24050
글로벌스탠다드테크놀로지,083450,2015/01/02,500,5730
