회사명,거래소코드,회계년도,액면가(원),종가(원)
3노드디지탈그룹유한공사,900010,2013/01/02,0.1,866
AK홀딩스보통주,006840,2013/01/02,5000,22250
BNK금융지주보통주,138930,2013/01/02,5000,13450
BYC보통주,001460,2013/01/02,5000,186000
CJ보통주,001040,2013/01/02,5000,124500
CJ씨푸드보통주,011150,2013/01/02,500,3015
CMG제약,058820,2013/01/02,500,1345
CS홀딩스보통주,000590,2013/01/02,5000,33900
DB Inc.보통주,012030,2013/01/02,5000,6380
DB금융투자보통주,016610,2013/01/02,5000,3825
DB손해보험보통주,005830,2013/01/02,500,44450
DB하이텍보통주,000990,2013/01/02,5000,6400
DGB금융지주보통주,139130,2013/01/02,5000,14900
DI동일보통주,001530,2013/01/02,5000,43100
DL건설보통주,001880,2013/01/02,5000,1625
DL보통주,000210,2013/01/02,5000,88500
DSR제강보통주,069730,2013/01/02,500,2955
E1보통주,017940,2013/01/02,5000,69200
ES큐브,050120,2013/01/02,500,3480
F&F홀딩스,007700,2013/01/02,500,6040
GS건설보통주,006360,2013/01/02,5000,59800
GS보통주,078930,2013/01/02,5000,75000
HDC보통주,012630,2013/01/02,5000,21900
HJ중공업보통주,097230,2013/01/02,5000,12450
IHQ보통주,003560,2013/01/02,500,1930
JW중외제약보통주,001060,2013/01/02,2500,14400
JW홀딩스 보통주,096760,2013/01/02,500,2295
KB KBSTAR 레버리지증권상장지수투자신탁(주식-파생재간접형),123760,2013/01/02,0,11905
KB금융지주 보통주,105560,2013/01/02,5000,38800
KB손해보험보통주,002550,2013/01/02,500,24450
KB오토시스,024120,2013/01/02,500,4500
KCTC 보통주,009070,2013/01/02,5000,15800
KD,044180,2013/01/02,100,132
KG스틸보통주,016380,2013/01/02,5000,4215
KG케미칼보통주,001390,2013/01/02,5000,11600
KH 필룩스보통주,033180,2013/01/02,500,1475
KISCO홀딩스보통주,001940,2013/01/02,5000,37700
KPX케미칼보통주,025000,2013/01/02,5000,50100
KPX홀딩스보통주,092230,2013/01/02,5000,40050
KR모터스보통주,000040,2013/01/02,500,496
LF보통주,093050,2013/01/02,5000,31400
LG디스플레이보통주,034220,2013/01/02,5000,31500
LG보통주,003550,2013/01/02,5000,67000
LG생명과학보통주,068870,2013/01/02,5000,48600
LG생활건강보통주,051900,2013/01/02,5000,651000
LG유플러스보통주,032640,2013/01/02,5000,7650
LG이노텍보통주,011070,2013/01/02,5000,86900
LG전자보통주,066570,2013/01/02,5000,77500
LG화학보통주,051910,2013/01/02,5000,340000
LS ELECTRIC보통주,010120,2013/01/02,5000,70400
LS네트웍스보통주,000680,2013/01/02,5000,4320
LS보통주,006260,2013/01/02,5000,95000
LX인터내셔널보통주,001120,2013/01/02,5000,48900
MDS테크,086960,2013/01/02,500,13500
MH에탄올보통주,023150,2013/01/02,500,2790
NAVER보통주,035420,2013/01/02,500,227500
NH농협증권(보통주),016420,2013/01/02,5000,5320
NICE보통주,034310,2013/01/02,5000,65900
NI스틸보통주,008260,2013/01/02,500,1715
NPC보통주,004250,2013/01/02,500,2480
OCI보통주,010060,2013/01/02,5000,167500
S-Oil보통주,010950,2013/01/02,2500,105500
SBS미디어홀딩스보통주,101060,2013/01/02,500,8400
SGC에너지보통주,005090,2013/01/02,5000,70900
SG글로벌보통주,001380,2013/01/02,500,1460
SHD보통주,001770,2013/01/02,5000,12600
SH에너지화학보통주,002360,2013/01/02,500,1080
SIMPAC보통주,009160,2013/01/02,500,7400
SJM보통주,123700,2013/01/02,500,7780
SJM홀딩스보통주,025530,2013/01/02,500,3655
SKC보통주,011790,2013/01/02,5000,41700
SK가스보통주,018670,2013/01/02,5000,87800
SK네트웍스보통주,001740,2013/01/02,2500,8660
SK보통주,034730,2013/01/02,200,104500
SK보통주,003600,2013/01/02,5000,185000
SK이노베이션 보통주,096770,2013/01/02,5000,179000
SK증권보통주,001510,2013/01/02,500,1220
SK텔레콤보통주,017670,2013/01/02,500,150500
SNT모티브보통주,064960,2013/01/02,5000,23000
SNT에너지보통주,100840,2013/01/02,500,16800
SNT중공업보통주,003570,2013/01/02,2500,11750
SNT홀딩스보통주,036530,2013/01/02,500,9760
SPC삼립보통주,005610,2013/01/02,5000,25250
STX보통주,011810,2013/01/02,2500,8290
STX엔진보통주,077970,2013/01/02,2500,9240
STX조선해양(보통주),067250,2013/01/02,2500,7350
STX중공업보통주,071970,2013/01/02,2500,5200
TBH글로벌보통주,084870,2013/01/02,500,14400
TCC스틸보통주,002710,2013/01/02,1000,4590
WISCOM보통주,024070,2013/01/02,500,4295
가비아,079940,2013/01/02,500,4090
