회사명,거래소코드,회계년도,액면가(원),종가(원)
테크엘,064520,2011/01/03,500,2490
텔레칩스,054450,2011/01/03,500,7720
텔레필드,091440,2011/01/03,500,3065
텔코웨어 보통주,078000,2011/01/03,500,7990
토비스,051360,2011/01/03,500,3460
토자이홀딩스,037700,2011/01/03,500,1070
토탈소프트뱅크,045340,2011/01/03,500,1235
톱텍,108230,2011/01/03,500,13800
투비소프트,079970,2011/01/03,500,6350
트레이스,052290,2011/01/03,500,351
특수건설,026150,2011/01/03,500,7030
티브로드 한빛방송,043890,2011/01/03,5000,20750
티브로드도봉강북방송,035210,2011/01/03,500,3010
티비씨,033830,2011/01/03,5000,6100
티사이언티픽,057680,2011/01/03,500,3800
티씨케이,064760,2011/01/03,500,13300
티에스넥스젠,043220,2011/01/03,500,390
티에스엠텍,066350,2011/01/03,500,11850
티에이치엔보통주,019180,2011/01/03,500,1690
티엘씨레저(보통주),014590,2011/01/03,500,522
티엘아이,062860,2011/01/03,500,16000
티와이엠보통주,002900,2011/01/03,5000,20300
티웨이홀딩스보통주,004870,2011/01/03,500,389
티이씨앤코보통주,008900,2011/01/03,500,207
티제이미디어,032540,2011/01/03,500,4550
티케이지애강,022220,2011/01/03,500,2880
티케이지휴켐스보통주,069260,2011/01/03,1000,20250
티플랙스,081150,2011/01/03,500,5560
티피씨메카트로닉스,048770,2011/01/03,500,3895
팅크웨어,084730,2011/01/03,500,14550
파나진,046210,2011/01/03,500,7710
파나케이아,058530,2011/01/03,500,760
파라다이스,034230,2011/01/03,500,4080
파라텍,033540,2011/01/03,500,2020
파루,043200,2011/01/03,500,2145
파미셀보통주,005690,2011/01/03,5000,74600
파브코 (보통주),101990,2011/01/03,500,2235
파세코,037070,2011/01/03,500,2955
파워로직스,047310,2011/01/03,500,8900
파인디앤씨,049120,2011/01/03,500,2575
파인디지털,038950,2011/01/03,500,3775
파인테크닉스,106240,2011/01/03,500,5050
파커스,065690,2011/01/03,500,6160
파트론,091700,2011/01/03,500,21950
팜스코보통주,036580,2011/01/03,500,2395
팜스토리,027710,2011/01/03,500,705
팜젠사이언스보통주,004720,2011/01/03,500,755
팬스타엔터프라이즈,054300,2011/01/03,500,488
팬엔터테인먼트,068050,2011/01/03,500,4705
팬오션보통주,028670,2011/01/03,1000,11550
퍼스텍보통주,010820,2011/01/03,500,2500
퍼시스보통주,016800,2011/01/03,1000,30000
페이퍼코리아보통주,001020,2011/01/03,5000,11300
평산,089480,2011/01/03,500,5280
평산차업집단 KDR,950010,2011/01/03,0,3030
평안물산,037240,2011/01/03,500,645
평화산업 주식회사 보통주,090080,2011/01/03,500,1375
평화홀딩스보통주,010770,2011/01/03,500,3110
포메탈,119500,2011/01/03,500,5430
포스코스틸리온보통주,058430,2011/01/03,5000,28900
포스코아이씨티,022100,2011/01/03,500,9660
포스코엠텍,009520,2011/01/03,5000,64800
포스코인터내셔널보통주,047050,2011/01/03,5000,36650
포스코켐텍,003670,2011/01/03,5000,144700
포스코플랜텍 보통주,051310,2011/01/03,500,15500
포스코홀딩스보통주,005490,2011/01/03,5000,486000
포휴먼,049690,2011/01/03,500,7670
폴라리스오피스,041020,2011/01/03,500,8360
폴라리스우노,114630,2011/01/03,500,3345
폴루스바이오팜보통주,007630,2011/01/03,1000,914
폴리플러스,065610,2011/01/03,500,1410
