회사명,거래소코드,회계년도,액면가(원),종가(원)
3노드디지탈그룹유한공사,900010,2012/01/02,0.1,900
AK홀딩스보통주,006840,2012/01/02,5000,38000
BNK금융지주보통주,138930,2012/01/02,5000,10650
BYC보통주,001460,2012/01/02,5000,154000
CJ보통주,001040,2012/01/02,5000,77000
CJ씨푸드보통주,011150,2012/01/02,500,2900
CMG제약,058820,2012/01/02,500,755
CS홀딩스보통주,000590,2012/01/02,5000,36250
DB Inc.보통주,012030,2012/01/02,5000,10900
DB금융투자보통주,016610,2012/01/02,5000,4150
DB손해보험보통주,005830,2012/01/02,500,51000
DB하이텍보통주,000990,2012/01/02,5000,7740
DGB금융지주보통주,139130,2012/01/02,5000,12450
DI동일보통주,001530,2012/01/02,5000,48850
DL건설보통주,001880,2012/01/02,5000,1725
DL보통주,000210,2012/01/02,5000,90300
DSR제강보통주,069730,2012/01/02,500,3340
E1보통주,017940,2012/01/02,5000,52700
ES큐브,050120,2012/01/02,500,2105
F&F홀딩스,007700,2012/01/02,500,6640
GS건설보통주,006360,2012/01/02,5000,93300
GS보통주,078930,2012/01/02,5000,51400
HDC보통주,012630,2012/01/02,5000,17200
HJ중공업보통주,097230,2012/01/02,5000,19150
IHQ보통주,003560,2012/01/02,500,4190
JW중외제약보통주,001060,2012/01/02,2500,14350
JW홀딩스 보통주,096760,2012/01/02,500,2445
KB KBSTAR 레버리지증권상장지수투자신탁(주식-파생재간접형),123760,2012/01/02,0,9835
KB금융지주 보통주,105560,2012/01/02,5000,36100
KB손해보험보통주,002550,2012/01/02,500,22950
KB오토시스,024120,2012/01/02,500,5500
KCTC 보통주,009070,2012/01/02,5000,15450
KD,044180,2012/01/02,100,109
KG스틸보통주,016380,2012/01/02,5000,5820
KG케미칼보통주,001390,2012/01/02,5000,7670
KH 필룩스보통주,033180,2012/01/02,500,1420
KISCO홀딩스보통주,001940,2012/01/02,5000,33000
KPX케미칼보통주,025000,2012/01/02,5000,57200
KPX홀딩스보통주,092230,2012/01/02,5000,42800
KR모터스보통주,000040,2012/01/02,500,691
LF보통주,093050,2012/01/02,5000,41250
LG디스플레이보통주,034220,2012/01/02,5000,24950
LG보통주,003550,2012/01/02,5000,61500
LG생명과학보통주,068870,2012/01/02,5000,35050
LG생활건강보통주,051900,2012/01/02,5000,479500
LG유플러스보통주,032640,2012/01/02,5000,7150
LG이노텍보통주,011070,2012/01/02,5000,69900
LG전자보통주,066570,2012/01/02,5000,76100
LG화학보통주,051910,2012/01/02,5000,320000
LS ELECTRIC보통주,010120,2012/01/02,5000,64700
LS네트웍스보통주,000680,2012/01/02,5000,4400
LS보통주,006260,2012/01/02,5000,74400
LX인터내셔널보통주,001120,2012/01/02,5000,46000
MDS테크,086960,2012/01/02,500,8210
MH에탄올보통주,023150,2012/01/02,500,3135
NAVER보통주,035420,2012/01/02,500,209000
NH농협증권(보통주),016420,2012/01/02,5000,5840
NICE보통주,034310,2012/01/02,5000,50200
NI스틸보통주,008260,2012/01/02,500,1810
NPC보통주,004250,2012/01/02,500,2675
OCI보통주,010060,2012/01/02,5000,215500
S-Oil보통주,010950,2012/01/02,2500,100500
SBS미디어홀딩스보통주,101060,2012/01/02,500,4180
SGC에너지보통주,005090,2012/01/02,5000,67800
SG글로벌보통주,001380,2012/01/02,500,875
SHD보통주,001770,2012/01/02,5000,11200
SH에너지화학보통주,002360,2012/01/02,500,316
SIMPAC보통주,009160,2012/01/02,500,4830
SJM보통주,123700,2012/01/02,500,5000
SJM홀딩스보통주,025530,2012/01/02,500,2995
SKC보통주,011790,2012/01/02,5000,38000
SK가스보통주,018670,2012/01/02,5000,74400
SK네트웍스보통주,001740,2012/01/02,2500,9790
SK보통주,003600,2012/01/02,5000,120500
SK보통주,034730,2012/01/02,200,121500
SK이노베이션 보통주,096770,2012/01/02,5000,140500
SK증권보통주,001510,2012/01/02,500,1155
SK텔레콤보통주,017670,2012/01/02,500,139500
SNT모티브보통주,064960,2012/01/02,5000,29750
SNT에너지보통주,100840,2012/01/02,500,17500
SNT중공업보통주,003570,2012/01/02,2500,16000
SNT홀딩스보통주,036530,2012/01/02,500,12600
SPC삼립보통주,005610,2012/01/02,5000,11900
STX보통주,011810,2012/01/02,2500,11350
STX엔진보통주,077970,2012/01/02,2500,13750
STX조선해양(보통주),067250,2012/01/02,2500,11150
STX중공업보통주,071970,2012/01/02,2500,5640
TBH글로벌보통주,084870,2012/01/02,500,17400
TCC스틸보통주,002710,2012/01/02,1000,5050
WISCOM보통주,024070,2012/01/02,500,3985
가비아,079940,2012/01/02,500,4540
가온미디어,078890,2012/01/02,500,3350
가온전선보통주,000500,2012/01/02,5000,15700
감성코퍼레이션,036620,2012/01/02,500,890
강남제비스코보통주,000860,2012/01/02,1000,14650
강원랜드보통주,035250,2012/01/02,500,28100
강원에너지,114190,2012/01/02,500,4420
갤럭시아머니트리,094480,2012/01/02,500,1710
갤럭시아에스엠보통주,011420,2012/01/02,500,1740
경남기업보통주,000800,2012/01/02,5000,7030
경남스틸,039240,2012/01/02,500,6380
경남에너지보통주,008020,2012/01/02,500,3240
경남제약,053950,2012/01/02,500,801
경농보통주,002100,2012/01/02,500,3015
경동나비엔보통주,009450,2012/01/02,1000,5950
경동인베스트보통주,012320,2012/01/02,5000,54000
경동제약,011040,2012/01/02,1000,9930
경방보통주,000050,2012/01/02,5000,93100
경인양행보통주,012610,2012/01/02,500,4095
경인전자보통주,009140,2012/01/02,5000,13200
경창산업,024910,2012/01/02,500,3950
계룡건설산업보통주,013580,2012/01/02,5000,12350
계양전기보통주,012200,2012/01/02,500,2965
고려개발보통주,004200,2012/01/02,5000,1740
고려산업보통주,002140,2012/01/02,5000,3420
고려신용정보,049720,2012/01/02,500,1100
고려아연보통주,010130,2012/01/02,5000,299000
고려제강보통주,002240,2012/01/02,1000,41550
고려제약,014570,2012/01/02,500,2660
고영테크놀러지,098460,2012/01/02,500,31300
골드앤에스,035290,2012/01/02,500,455
골드퍼시픽,038530,2012/01/02,500,1030
골프존뉴딘홀딩스,121440,2012/01/02,500,47200
광동제약보통주,009290,2012/01/02,1000,3805
광림,014200,2012/01/02,1000,2140
광명전기보통주,017040,2012/01/02,500,3150
광무,029480,2012/01/02,500,867
광전자보통주,017900,2012/01/02,500,3220
광주신세계보통주,037710,2012/01/02,5000,171000
광진실업,026910,2012/01/02,500,3240
교보증권보통주,030610,2012/01/02,5000,5270
구영테크,053270,2012/01/02,500,1370
국도화학보통주,007690,2012/01/02,5000,48250
국동보통주,005320,2012/01/02,500,1110
국보디자인,066620,2012/01/02,500,4955
국보보통주,001140,2012/01/02,5000,11200
국순당,043650,2012/01/02,500,7970
국영지앤엠,006050,2012/01/02,500,1410
국일제지,078130,2012/01/02,5000,5620
국제약품보통주,002720,2012/01/02,1000,2280
그래디언트,035080,2012/01/02,500,6510
그랜드코리아레저보통주,114090,2012/01/02,500,18400
그린케미칼보통주,083420,2012/01/02,500,3095
극동유화보통주,014530,2012/01/02,5000,16800
글로벌스탠다드테크놀로지,083450,2012/01/02,500,3550
글로벌에스엠테크리미티드,900070,2012/01/02,0.5,1305
글로본,019660,2012/01/02,500,336
글로스텍(보통주),012410,2012/01/02,500,4295
금강공업보통주,014280,2012/01/02,5000,10450
금강철강,053260,2012/01/02,500,2665
금빛,045890,2012/01/02,500,2500
금성테크,058370,2012/01/02,500,536
금양보통주,001570,2012/01/02,500,796
금호건설보통주,002990,2012/01/02,5000,7170
금호석유화학보통주,011780,2012/01/02,5000,165000
금호전기보통주,001210,2012/01/02,5000,25100
금호타이어보통주,073240,2012/01/02,5000,10300
금화피에스시,036190,2012/01/02,500,11150
기산텔레콤,035460,2012/01/02,500,1910
기아보통주,000270,2012/01/02,5000,66500
까뮤이앤씨보통주,013700,2012/01/02,5000,2605
깨끗한나라보통주,004540,2012/01/02,5000,4595
나노신소재,121600,2012/01/02,500,21100
나노엔텍,039860,2012/01/02,500,4115
나노캠텍,091970,2012/01/02,500,3750
나노트로닉스,010670,2012/01/02,500,4105
나라엠앤디,051490,2012/01/02,500,2610
나이벡,138610,2012/01/02,500,7100
나이스디앤비,130580,2012/01/02,500,2575
나이스정보통신,036800,2012/01/02,500,4850
나이스평가정보,030190,2012/01/02,5000,23000
남광토건보통주,001260,2012/01/02,5000,1020
남선알미늄보통주,008350,2012/01/02,500,622
남성보통주,004270,2012/01/02,5000,8140
남양유업보통주,003920,2012/01/02,5000,785000
남해화학보통주,025860,2012/01/02,1000,10550
네오리진,094860,2012/01/02,500,2990
네오위즈,095660,2012/01/02,500,41900
네오위즈홀딩스,042420,2012/01/02,500,21750
네오티스,085910,2012/01/02,500,3620
네오팜,092730,2012/01/02,500,8590
네오퍼플,028090,2012/01/02,500,1415
네이처셀,007390,2012/01/02,500,769
네패스,033640,2012/01/02,500,16500
넥센보통주,005720,2012/01/02,5000,72800
넥센타이어보통주,002350,2012/01/02,500,18050
넥솔론보통주,110570,2012/01/02,500,3830
넥스콘테크놀러지,038990,2012/01/02,500,6650
넥스턴바이오사이언스,089140,2012/01/02,500,3820
넥스트아이,137940,2012/01/02,500,6690
넥슨지티,041140,2012/01/02,500,9950
넷웨이브,047730,2012/01/02,500,492
노루페인트 보통주,090350,2012/01/02,500,2920
노루홀딩스보통주,000320,2012/01/02,500,6680
녹십자보통주,006280,2012/01/02,5000,150000
녹십자셀,031390,2012/01/02,500,1665
녹십자홀딩스보통주,005250,2012/01/02,500,14500
녹원씨엔아이,065560,2012/01/02,500,1430
농심보통주,004370,2012/01/02,5000,237500
농심홀딩스보통주,072710,2012/01/02,5000,51100
농업회사법인농우바이오,054050,2012/01/02,500,13150
누리플랜,069140,2012/01/02,500,8810
누리플렉스,040160,2012/01/02,500,5500
뉴보텍,060260,2012/01/02,500,401
뉴인텍,012340,2012/01/02,500,1770
뉴프렉스,085670,2012/01/02,500,1590
다날,064260,2012/01/02,500,8060
다믈멀티미디어,093640,2012/01/02,500,1310
다산네트웍스,039560,2012/01/02,500,5340
다스코보통주,058730,2012/01/02,500,1975
다올투자증권보통주,030210,2012/01/02,5000,2005
다우기술보통주,023590,2012/01/02,500,10350
다우데이타,032190,2012/01/02,500,3510
다원시스,068240,2012/01/02,500,6200
다함이텍(보통주),009280,2012/01/02,5000,18000
대교보통주,019680,2012/01/02,500,6080
대구백화점보통주,006370,2012/01/02,5000,12700
대국,042340,2012/01/02,500,578
대덕GDS보통주,004130,2012/01/02,500,9810
대덕보통주,008060,2012/01/02,500,11950
대동금속,020400,2012/01/02,5000,28200
대동기어,008830,2012/01/02,5000,18950
대동보통주,000490,2012/01/02,1000,3730
대동스틸,048470,2012/01/02,500,2485
대륙제관,004780,2012/01/02,500,5270
대림B&Co보통주,005750,2012/01/02,1000,1740
대림제지,017650,2012/01/02,500,1925
대림통상보통주,006570,2012/01/02,1000,4095
대명소노시즌,007720,2012/01/02,500,833
대봉엘에스,078140,2012/01/02,500,2800
대상보통주,001680,2012/01/02,1000,15850
대상홀딩스 보통주,084690,2012/01/02,1000,4095
대성미생물연구소,036480,2012/01/02,5000,33850
대성산업보통주,128820,2012/01/02,5000,28500
대성에너지보통주,117580,2012/01/02,1000,5110
대성창업투자,027830,2012/01/02,500,575
대성파인텍,104040,2012/01/02,500,2825
대성합동지주보통주,005620,2012/01/02,5000,58500
대성홀딩스보통주,016710,2012/01/02,1000,7030
대신증권그로쓰알파기업인수목적,123550,2012/01/02,1000,1865
대신증권보통주,003540,2012/01/02,5000,10350
대아티아이,045390,2012/01/02,100,1585
대양금속보통주,009190,2012/01/02,500,802
대양전기공업,108380,2012/01/02,500,9100
대양제지공업,006580,2012/01/02,5000,8350
대영포장보통주,014160,2012/01/02,500,373
대우건설보통주,047040,2012/01/02,5000,10250
대우송도개발(보통주),004550,2012/01/02,5000,1190
대우전자부품보통주,009320,2012/01/02,500,740
대우조선해양보통주,042660,2012/01/02,5000,23450
대웅보통주,003090,2012/01/02,2500,14550
대웅제약보통주,069620,2012/01/02,2500,29550
대원강업보통주,000430,2012/01/02,500,4745
대원미디어,048910,2012/01/02,500,8010
대원산업,005710,2012/01/02,500,4390
대원전선보통주,006340,2012/01/02,500,627
대원제약보통주,003220,2012/01/02,500,5160
대원화성보통주,024890,2012/01/02,500,796
대유에이텍,002880,2012/01/02,500,2960
대유플러스보통주,000300,2012/01/02,500,3020
대정화금,120240,2012/01/02,500,13650
대주산업,003310,2012/01/02,500,499
대주전자재료,078600,2012/01/02,500,8690
대창단조보통주,015230,2012/01/02,5000,34900
대창보통주,012800,2012/01/02,500,1100
대창솔루션,096350,2012/01/02,500,3045
대한과학,131220,2012/01/02,500,7830
대한광통신,010170,2012/01/02,500,1690
대한그린파워,060900,2012/01/02,500,1565
대한뉴팜,054670,2012/01/02,500,6720
대한방직보통주,001070,2012/01/02,5000,23000
대한약품공업,023910,2012/01/02,500,11750
대한유화보통주,006650,2012/01/02,5000,89000
대한전선보통주,001440,2012/01/02,2500,3025
대한제강 보통주,084010,2012/01/02,1000,6500
대한제당보통주,001790,2012/01/02,2500,22900
대한제분보통주,001130,2012/01/02,5000,154500
대한종합상사,045260,2012/01/02,500,1010
대한항공보통주,003490,2012/01/02,5000,43500
대한해운보통주,005880,2012/01/02,5000,31150
대한화섬보통주,003830,2012/01/02,5000,75200
대현보통주,016090,2012/01/02,500,1535
대호에이엘보통주,069460,2012/01/02,500,2655
대호특수강,021040,2012/01/02,500,995
대화제약,067080,2012/01/02,500,5760
더이앤엠,089230,2012/01/02,500,7570
더존비즈온보통주,012510,2012/01/02,500,6710
덕산하이메탈,077360,2012/01/02,200,26950
덕성보통주,004830,2012/01/02,500,1830
덕양산업보통주,024900,2012/01/02,5000,20550
데코앤이,017680,2012/01/02,500,1830
도이치모터스,067990,2012/01/02,500,5880
도화엔지니어링보통주,002150,2012/01/02,500,14300
동국산업,005160,2012/01/02,1000,4060
동국알앤에스,075970,2012/01/02,1000,1450
동국에스엔씨,100130,2012/01/02,500,3945
동국제강보통주,001230,2012/01/02,5000,20250
동국제약,086450,2012/01/02,2500,14000
동방보통주,004140,2012/01/02,1000,4690
동방선기,099410,2012/01/02,500,1725
동방아그로보통주,007590,2012/01/02,500,6260
동부건설보통주,005960,2012/01/02,5000,4430
동부티에스블랙펄기업인수목적,128910,2012/01/02,100,1865
동서,026960,2012/01/02,500,30950
동성제약보통주,002210,2012/01/02,1000,1415
동성케미컬보통주,102260,2012/01/02,1000,3785
동성하이켐,013450,2012/01/02,500,4130
동성화인텍,033500,2012/01/02,500,3700
동성화학보통주,005190,2012/01/02,1000,18200
동신건설,025950,2012/01/02,500,4330
동아쏘시오홀딩스보통주,000640,2012/01/02,5000,92000
동아엘텍,088130,2012/01/02,500,6040
동아지질보통주,028100,2012/01/02,500,9900
동아화성,041930,2012/01/02,500,3570
동양건설산업(보통주),005900,2012/01/02,5000,4145
동양고속보통주,084670,2012/01/02,5000,17950
동양보통주,001520,2012/01/02,500,1045
동양생명보험보통주,082640,2012/01/02,5000,14700
동양에스텍,060380,2012/01/02,500,2115
동양이엔피,079960,2012/01/02,500,8290
동양철관보통주,008970,2012/01/02,500,2555
동양텔레콤,007150,2012/01/02,500,1505
동우팜투테이블,088910,2012/01/02,500,3390
동원F&B보통주,049770,2012/01/02,5000,72600
동원개발,013120,2012/01/02,5000,6990
동원산업보통주,006040,2012/01/02,5000,167000
동원수산보통주,030720,2012/01/02,5000,20800
동원시스템즈보통주,014820,2012/01/02,500,1110
동일금속,109860,2012/01/02,500,12500
동일기연,032960,2012/01/02,500,13350
동일산업보통주,004890,2012/01/02,5000,57500
동일철강,023790,2012/01/02,500,5630
동진쎄미켐,005290,2012/01/02,500,4220
동화기업,025900,2012/01/02,500,6120
동화약품보통주,000020,2012/01/02,1000,4085
두산건설보통주,011160,2012/01/02,5000,3135
두산보통주,000150,2012/01/02,5000,143500
두산에너빌리티보통주,034020,2012/01/02,5000,64400
듀오백,073190,2012/01/02,1000,3670
드래곤플라이,030350,2012/01/02,500,18450
드림어스컴퍼니,060570,2012/01/02,500,2185
디모아,016670,2012/01/02,500,1230
디브이에스코리아,046400,2012/01/02,500,610
디스플레이테크,066670,2012/01/02,500,2370
디씨엠보통주,024090,2012/01/02,500,10000
디아이디,074130,2012/01/02,500,3590
디아이보통주,003160,2012/01/02,500,1340
디아이씨 보통주,092200,2012/01/02,500,6820
디아크,078590,2012/01/02,500,3180
디알비동일보통주,004840,2012/01/02,500,9280
디에스,051710,2012/01/02,500,2090
디에스케이,109740,2012/01/02,500,2980
디에스티,033430,2012/01/02,500,375
디에이치오토웨어,025440,2012/01/02,500,829
디에이피,066900,2012/01/02,500,2270
디엔에이링크,127120,2012/01/02,500,16850
디엔에프,092070,2012/01/02,500,4150
디엔오토모티브보통주,007340,2012/01/02,500,11350
디엠에스,068790,2012/01/02,500,5680
디오,039840,2012/01/02,500,7110
디와이보통주,013570,2012/01/02,500,12250
디와이피엔에프,104460,2012/01/02,500,8240
디웍스글로벌,071530,2012/01/02,500,553
디이엔티,079810,2012/01/02,500,2395
디지아이,043360,2012/01/02,500,1930
디지털대성,068930,2012/01/02,500,2725
디지텍시스템스,091690,2012/01/02,500,11100
디지틀조선일보,033130,2012/01/02,500,2340
디케이락,105740,2012/01/02,500,6640
디테크놀로지,065310,2012/01/02,500,600
딜리,131180,2012/01/02,500,4785
라온시큐어,042510,2012/01/02,500,680
라이트론,069540,2012/01/02,500,2690
라이프앤비,034010,2012/01/02,500,501
락앤락보통주,115390,2012/01/02,500,37500
럭슬,033600,2012/01/02,500,1130
레드로버,060300,2012/01/02,500,13300
레드캡투어,038390,2012/01/02,500,13900
레이젠,047440,2012/01/02,500,1855
렉스엘이앤지,004790,2012/01/02,500,1485
로보스타,090360,2012/01/02,500,7640
로엔엔터테인먼트,016170,2012/01/02,500,13150
로체시스템즈,071280,2012/01/02,500,4175
로케트전기보통주,000420,2012/01/02,5000,6080
롯데관광개발 보통주,032350,2012/01/02,500,14600
롯데미도파(보통주),004010,2012/01/02,5000,15600
롯데손해보험보통주,000400,2012/01/02,1000,5400
롯데쇼핑 보통주,023530,2012/01/02,5000,335000
롯데정밀화학보통주,004000,2012/01/02,5000,60100
롯데지주보통주,004990,2012/01/02,5000,1670000
롯데칠성음료보통주,005300,2012/01/02,5000,1430000
롯데케미칼보통주,011170,2012/01/02,5000,298500
롯데푸드보통주,002270,2012/01/02,5000,414500
롯데하이마트보통주,071840,2012/01/02,5000,80200
루멘스,038060,2012/01/02,500,6370
루트로닉,085370,2012/01/02,500,4580
룩손에너지홀딩스,033550,2012/01/02,500,1050
룽투코리아,060240,2012/01/02,500,241
리노공업,058470,2012/01/02,500,21050
리노스,039980,2012/01/02,500,1630
리더스 기술투자,019570,2012/01/02,500,284
리더스코스메틱,016100,2012/01/02,500,8240
리드코프,012700,2012/01/02,500,4590
링네트,042500,2012/01/02,500,1790
마니커보통주,027740,2012/01/02,500,1055
마이다스 코스피200커버드콜5%OTM증권상장지수투자신탁(주식),137930,2012/01/02,0,9690
마이스코,088700,2012/01/02,500,2510
마이크로컨텍솔루션,098120,2012/01/02,500,3295
마제스타,035480,2012/01/02,500,1405
마크로젠,038290,2012/01/02,500,38600
매일홀딩스,005990,2012/01/02,500,19100
매커스,093520,2012/01/02,500,1030
맥쿼리한국인프라투융자회사 보통주,088980,2012/01/02,0,5000
멀티캠퍼스,067280,2012/01/02,500,49000
메가스터디,072870,2012/01/02,500,108400
메디앙스,014100,2012/01/02,500,23600
메디콕스,054180,2012/01/02,500,737
메디톡스,086900,2012/01/02,500,25900
메디포스트,078160,2012/01/02,500,178000
메디프론디비티,065650,2012/01/02,500,8900
메리츠금융지주회사보통주,138040,2012/01/02,500,2680
메리츠증권보통주,008560,2012/01/02,1000,706
메리츠화재해상보험보통주,000060,2012/01/02,500,11450
메타랩스보통주,090370,2012/01/02,500,6910
메타바이오메드,059210,2012/01/02,500,4680
멜파스,096640,2012/01/02,500,26500
명문제약 보통주,017180,2012/01/02,500,4210
모나리자보통주,012690,2012/01/02,500,2970
모나미보통주,005360,2012/01/02,1000,3935
모다이노칩,080420,2012/01/02,500,9180
모두투어네트워크,080160,2012/01/02,500,23850
모린스,110310,2012/01/02,500,5930
모베이스,101330,2012/01/02,500,3325
모베이스전자,012860,2012/01/02,500,2500
모토닉보통주,009680,2012/01/02,500,7250
모헨즈,006920,2012/01/02,500,2585
무궁화인포메이션테크놀로지,038340,2012/01/02,500,716
무림에스피,001810,2012/01/02,500,1875
무림페이퍼보통주,009200,2012/01/02,2500,2640
무림피앤피보통주,009580,2012/01/02,2500,5020
무학보통주,033920,2012/01/02,200,10950
무한투자,034510,2012/01/02,500,460
문배철강보통주,008420,2012/01/02,500,1865
미래나노텍,095500,2012/01/02,500,5490
미래산업보통주,025560,2012/01/02,100,395
미래아이앤지보통주,007120,2012/01/02,500,599
미래에셋 TIGER S&P500선물 증권상장지수투자신탁(주식-파생형),143850,2012/01/02,0,12990
미래에셋 TIGER 금속선물 특별자산상장지수투자신탁(금속-파생형),139310,2012/01/02,0,7380
미래에셋 TIGER 금은선물 특별자산상장지수투자신탁(금속-파생형),139320,2012/01/02,0,10065
미래에셋 TIGER 농산물선물 특별자산상장지수투자신탁(농산물-파생형),137610,2012/01/02,0,8960
미래에셋 TIGER 레버리지 증권상장지수투자신탁(주식-파생형),123320,2012/01/02,0,10010
미래에셋 TIGER 블루칩30 증권상장지수투자신탁(주식),139300,2012/01/02,0,6975
미래에셋 TIGER 원유선물 특별자산상장지수투자신탁(원유-파생형),130680,2012/01/02,0,10845
미래에셋 TIGER 인버스 증권상장지수투자신탁(주식-파생형),123310,2012/01/02,0,8645
미래에셋 TIGER 중국소비테마 증권상장지수투자신탁(주식),150460,2012/01/02,0,5580
미래에셋맵스아시아퍼시픽부동산공모1호,094800,2012/01/02,0,2995
미래에셋제1호기업인수목적,121950,2012/01/02,500,1410
미래에셋증권보통주,006800,2012/01/02,5000,10350
미래에셋증권보통주,037620,2012/01/02,5000,30950
미래컴퍼니,049950,2012/01/02,500,9220
미리넷,056710,2012/01/02,500,248
미성포리테크,094700,2012/01/02,500,550
미원상사보통주,002840,2012/01/02,5000,94900
미원홀딩스 보통주,107590,2012/01/02,5000,126500
미원화학보통주,134380,2012/01/02,1000,21800
미주제강,002670,2012/01/02,500,203
미창석유공업보통주,003650,2012/01/02,5000,47000
미코,059090,2012/01/02,500,3220
바른손,018700,2012/01/02,1000,1955
바른손이앤에이,035620,2012/01/02,500,1505
바이넥스,053030,2012/01/02,500,10300
바이오니아,064550,2012/01/02,500,4635
바이오스마트,038460,2012/01/02,500,2690
바이오톡스텍,086040,2012/01/02,500,7700
바이온,032980,2012/01/02,500,2120
바텍,043150,2012/01/02,500,7450
배명금속(보통주),011800,2012/01/02,500,256
백광산업보통주,001340,2012/01/02,5000,36150
백금티앤에이,046310,2012/01/02,500,1715
백산보통주,035150,2012/01/02,500,2675
버킷스튜디오,066410,2012/01/02,500,1355
범양건영보통주,002410,2012/01/02,5000,1520
베뉴지,019010,2012/01/02,5000,5960
벽산건설(보통주),002530,2012/01/02,5000,910
벽산보통주,007210,2012/01/02,5000,19000
보광티에스,066690,2012/01/02,500,421
보락보통주,002760,2012/01/02,1000,2530
보령보통주,003850,2012/01/02,2500,16600
보루네오가구보통주,004740,2012/01/02,5000,3085
보성파워텍,006910,2012/01/02,500,2310
보타바이오,026260,2012/01/02,500,562
보해양조보통주,000890,2012/01/02,5000,13400
부-스타,008470,2012/01/02,500,4260
부광약품보통주,003000,2012/01/02,500,15550
부국증권보통주,001270,2012/01/02,5000,16750
부국철강 보통주,026940,2012/01/02,500,2005
