회사명,거래소코드,회계년도,액면가(원),종가(원)
테크엘,064520,2017/01/02,500,1790
테크윙,089030,2017/01/02,500,14250
텔레칩스,054450,2017/01/02,500,10650
텔레필드,091440,2017/01/02,500,4325
텔코웨어 보통주,078000,2017/01/02,500,11500
텔콘알에프제약,200230,2017/01/02,100,4285
토니모리보통주,214420,2017/01/02,200,21600
토박스코리아,215480,2017/01/02,100,2100
토비스,051360,2017/01/02,500,8470
토탈소프트뱅크,045340,2017/01/02,500,3925
톱텍,108230,2017/01/02,500,23350
투비소프트,079970,2017/01/02,500,6580
트레이스,052290,2017/01/02,500,1985
트루윈,105550,2017/01/02,500,9300
특수건설,026150,2017/01/02,500,4665
티비씨,033830,2017/01/02,5000,7800
티사이언티픽,057680,2017/01/02,500,3000
티씨케이,064760,2017/01/02,500,31000
티에스넥스젠,043220,2017/01/02,500,2265
티에스이,131290,2017/01/02,500,8090
티에스인베스트먼트,246690,2017/01/02,500,3385
티에이치엔보통주,019180,2017/01/02,500,2275
티엘아이,062860,2017/01/02,500,6990
티와이엠보통주,002900,2017/01/02,500,3725
티웨이홀딩스보통주,004870,2017/01/02,500,6880
티제이미디어,032540,2017/01/02,500,4550
티케이지애강,022220,2017/01/02,500,2270
티케이지휴켐스보통주,069260,2017/01/02,1000,21700
티케이케미칼,104480,2017/01/02,500,1890
티플랙스,081150,2017/01/02,500,2305
티피씨,130740,2017/01/02,500,4510
티피씨메카트로닉스,048770,2017/01/02,500,7490
팅크웨어,084730,2017/01/02,500,11350
파나진,046210,2017/01/02,500,6850
파나케이아,058530,2017/01/02,500,4170
파라다이스,034230,2017/01/02,500,12200
파라텍,033540,2017/01/02,500,7800
파루,043200,2017/01/02,500,4020
파마리서치,214450,2017/01/02,500,39850
파미셀보통주,005690,2017/01/02,500,5250
파버나인,177830,2017/01/02,500,10200
파세코,037070,2017/01/02,500,5700
파수,150900,2017/01/02,500,6040
파워로직스,047310,2017/01/02,500,3930
파이오링크,170790,2017/01/02,500,7660
파인디앤씨,049120,2017/01/02,500,9170
파인디지털,038950,2017/01/02,500,6720
파인테크닉스,106240,2017/01/02,500,3405
파인텍,131760,2017/01/02,500,9030
파커스,065690,2017/01/02,500,3900
파크시스템스,140860,2017/01/02,500,19900
파트론,091700,2017/01/02,500,10150
파티게임즈,194510,2017/01/02,500,9240
팍스넷,038160,2017/01/02,500,8160
팜스코보통주,036580,2017/01/02,500,11600
팜스토리,027710,2017/01/02,500,1525
팜젠사이언스보통주,004720,2017/01/02,500,17550
패션플랫폼,225590,2017/01/02,100,1985
팬스타엔터프라이즈,054300,2017/01/02,500,1655
팬엔터테인먼트,068050,2017/01/02,500,4700
팬오션보통주,028670,2017/01/02,1000,3945
팬젠,222110,2017/01/02,500,16300
퍼스텍보통주,010820,2017/01/02,500,3780
퍼시스보통주,016800,2017/01/02,1000,32700
페이퍼코리아보통주,001020,2017/01/02,500,541
펩트론,087010,2017/01/02,500,39800
평화산업 주식회사 보통주,090080,2017/01/02,500,1850
평화홀딩스보통주,010770,2017/01/02,500,3670
포메탈,119500,2017/01/02,500,4280
