회사명,거래소코드,회계년도,액면가(원),종가(원)
AJ네트웍스보통주,095570,2016/01/04,5000,48000
AK홀딩스보통주,006840,2016/01/04,5000,60100
BGF보통주,027410,2016/01/04,1000,170000
BNK금융지주보통주,138930,2016/01/04,5000,8300
BYC보통주,001460,2016/01/04,5000,445000
CJ보통주,001040,2016/01/04,5000,244000
CJ씨푸드보통주,011150,2016/01/04,500,3465
CMG제약,058820,2016/01/04,500,2060
CS홀딩스보통주,000590,2016/01/04,5000,79000
DB Inc.보통주,012030,2016/01/04,5000,4775
DB금융투자보통주,016610,2016/01/04,5000,3765
DB손해보험보통주,005830,2016/01/04,500,69700
DB하이텍보통주,000990,2016/01/04,5000,14150
DGB금융지주보통주,139130,2016/01/04,5000,9670
DI동일보통주,001530,2016/01/04,5000,61800
DL건설보통주,001880,2016/01/04,5000,16000
DL보통주,000210,2016/01/04,5000,64400
DSR보통주,155660,2016/01/04,500,4030
DSR제강보통주,069730,2016/01/04,500,3785
E1보통주,017940,2016/01/04,5000,61400
ES큐브,050120,2016/01/04,500,1625
F&F홀딩스,007700,2016/01/04,500,16050
GS건설보통주,006360,2016/01/04,5000,19150
GS보통주,078930,2016/01/04,5000,49100
HDC보통주,012630,2016/01/04,5000,37300
HJ중공업보통주,097230,2016/01/04,5000,3845
IHQ보통주,003560,2016/01/04,500,2045
JB금융지주보통주,175330,2016/01/04,5000,5420
JW중외제약보통주,001060,2016/01/04,2500,36350
JW홀딩스 보통주,096760,2016/01/04,500,8840
KB KBSTAR 단기통안채증권상장지수투자신탁(채권),196230,2016/01/04,0,101480
KB KBSTAR 레버리지증권상장지수투자신탁(주식-파생재간접형),123760,2016/01/04,0,8465
KB KBSTAR 미국S&P원유생산기업증권상장지수투자신탁(주식-파생형)(합성 H),219390,2016/01/04,0,6010
KB KBSTAR 일본레버리지증권상장지수투자신탁(주식-재간접파생형)(H),196220,2016/01/04,0,14025
KB KBSTAR 중국본토대형주CSI100증권상장지수자투자신탁(주식),174360,2016/01/04,0,13320
KB금융지주 보통주,105560,2016/01/04,5000,32450
KB손해보험보통주,002550,2016/01/04,500,30100
KB오토시스,024120,2016/01/04,500,5740
KCTC 보통주,009070,2016/01/04,500,3095
KD,044180,2016/01/04,100,222
KG스틸보통주,016380,2016/01/04,5000,5100
KG케미칼보통주,001390,2016/01/04,5000,15150
KH 필룩스보통주,033180,2016/01/04,500,2180
KINDEX골드선물레버리지특별자산상장지수투자신탁(금-파생형)(합성 H),225130,2016/01/04,0,9220
