회사명,거래소코드,회계년도,액면가(원),종가(원)
3노드디지탈그룹유한공사,900010,2011/01/03,0.1,1905
AK홀딩스보통주,006840,2011/01/03,5000,34750
BYC보통주,001460,2011/01/03,5000,160000
CJ보통주,001040,2011/01/03,5000,79100
CJ씨푸드보통주,011150,2011/01/03,500,2715
CMG제약,058820,2011/01/03,500,774
CS홀딩스보통주,000590,2011/01/03,5000,65300
DB Inc.보통주,012030,2011/01/03,5000,22800
DB금융투자보통주,016610,2011/01/03,5000,7800
DB손해보험보통주,005830,2011/01/03,500,45300
DB하이텍보통주,000990,2011/01/03,5000,11050
DI동일보통주,001530,2011/01/03,5000,64700
DL건설보통주,001880,2011/01/03,5000,3700
DL보통주,000210,2011/01/03,5000,123500
DSR제강보통주,069730,2011/01/03,500,3915
E1보통주,017940,2011/01/03,5000,54200
ES큐브,050120,2011/01/03,500,2445
F&F홀딩스,007700,2011/01/03,500,5570
GS건설보통주,006360,2011/01/03,5000,118000
GS보통주,078930,2011/01/03,5000,65800
HDC보통주,012630,2011/01/03,5000,34300
HJ중공업보통주,097230,2011/01/03,5000,37200
IHQ보통주,003560,2011/01/03,500,2070
JW중외제약보통주,001060,2011/01/03,2500,15950
JW홀딩스 보통주,096760,2011/01/03,500,2590
KB KBSTAR 레버리지증권상장지수투자신탁(주식-파생재간접형),123760,2011/01/03,0,14180
KB금융지주 보통주,105560,2011/01/03,5000,61800
KB손해보험보통주,002550,2011/01/03,500,23150
KB오토시스,024120,2011/01/03,500,7300
KCTC 보통주,009070,2011/01/03,5000,22400
KD,044180,2011/01/03,100,198
KG스틸보통주,016380,2011/01/03,5000,9870
KG케미칼보통주,001390,2011/01/03,5000,9950
KH 필룩스보통주,033180,2011/01/03,500,1460
KISCO홀딩스보통주,001940,2011/01/03,5000,53100
KPX케미칼보통주,025000,2011/01/03,5000,60800
KPX홀딩스보통주,092230,2011/01/03,5000,58200
KR모터스보통주,000040,2011/01/03,500,683
LF보통주,093050,2011/01/03,5000,30600
LG디스플레이보통주,034220,2011/01/03,5000,40850
LG보통주,003550,2011/01/03,5000,87600
LG생명과학보통주,068870,2011/01/03,5000,50500
LG생활건강보통주,051900,2011/01/03,5000,398000
LG유플러스보통주,032640,2011/01/03,5000,7210
LG이노텍보통주,011070,2011/01/03,5000,136500
LG전자보통주,066570,2011/01/03,5000,120000
LG화학보통주,051910,2011/01/03,5000,390500
LS ELECTRIC보통주,010120,2011/01/03,5000,92000
LS네트웍스보통주,000680,2011/01/03,5000,6090
LS보통주,006260,2011/01/03,5000,112000
LX인터내셔널보통주,001120,2011/01/03,5000,39300
MDS테크,086960,2011/01/03,500,8170
MH에탄올보통주,023150,2011/01/03,500,2880
NAVER보통주,035420,2011/01/03,500,221500
NH농협증권(보통주),016420,2011/01/03,5000,10450
NICE보통주,034310,2011/01/03,5000,62900
NI스틸보통주,008260,2011/01/03,500,2385
NPC보통주,004250,2011/01/03,500,2010
OCI보통주,010060,2011/01/03,5000,331000
S-Oil보통주,010950,2011/01/03,2500,92900
SBS미디어홀딩스보통주,101060,2011/01/03,500,2640
SGC에너지보통주,005090,2011/01/03,5000,70000
SG글로벌보통주,001380,2011/01/03,500,1520
SHD보통주,001770,2011/01/03,5000,20000
SH에너지화학보통주,002360,2011/01/03,500,387
SIMPAC보통주,009160,2011/01/03,500,4130
SJM보통주,123700,2011/01/03,500,7000
SJM홀딩스보통주,025530,2011/01/03,500,4665
SKC보통주,011790,2011/01/03,5000,38250
SK가스보통주,018670,2011/01/03,5000,40600
SK네트웍스보통주,001740,2011/01/03,2500,13800
SK보통주,034730,2011/01/03,200,87900
SK보통주,003600,2011/01/03,5000,140500
SK이노베이션 보통주,096770,2011/01/03,5000,194500
SK증권보통주,001510,2011/01/03,500,2405
SK텔레콤보통주,017670,2011/01/03,500,172500
SNT모티브보통주,064960,2011/01/03,5000,30550
SNT에너지보통주,100840,2011/01/03,500,18450
SNT중공업보통주,003570,2011/01/03,2500,22300
SNT홀딩스보통주,036530,2011/01/03,500,14800
SPC삼립보통주,005610,2011/01/03,5000,12200
STX보통주,011810,2011/01/03,2500,27500
STX엔진보통주,077970,2011/01/03,2500,34850
STX조선해양(보통주),067250,2011/01/03,2500,24350
STX중공업보통주,071970,2011/01/03,2500,12300
TBH글로벌보통주,084870,2011/01/03,500,18150
TCC스틸보통주,002710,2011/01/03,1000,4960
WISCOM보통주,024070,2011/01/03,500,4380
가비아,079940,2011/01/03,500,3110
가온미디어,078890,2011/01/03,500,6200
가온전선보통주,000500,2011/01/03,5000,24800
감성코퍼레이션,036620,2011/01/03,500,1630
강남제비스코보통주,000860,2011/01/03,1000,16250
강원랜드보통주,035250,2011/01/03,500,28400
강원에너지,114190,2011/01/03,500,4295
갤럭시아머니트리,094480,2011/01/03,500,2440
갤럭시아에스엠보통주,011420,2011/01/03,500,2035
경남기업보통주,000800,2011/01/03,5000,9990
경남스틸,039240,2011/01/03,500,4400
경남에너지보통주,008020,2011/01/03,500,3120
경남제약,053950,2011/01/03,500,1120
경농보통주,002100,2011/01/03,500,3790
경동나비엔보통주,009450,2011/01/03,5000,29500
경동인베스트보통주,012320,2011/01/03,5000,42350
경동제약,011040,2011/01/03,1000,8520
경방보통주,000050,2011/01/03,5000,121000
경윤하이드로에너지,019120,2011/01/03,500,125
경인양행보통주,012610,2011/01/03,500,3740
경인전자보통주,009140,2011/01/03,5000,19050
경창산업,024910,2011/01/03,500,6030
계룡건설산업보통주,013580,2011/01/03,5000,18500
계양전기보통주,012200,2011/01/03,500,2620
고려개발보통주,004200,2011/01/03,5000,4930
고려산업보통주,002140,2011/01/03,5000,3310
고려신용정보,049720,2011/01/03,500,750
고려아연보통주,010130,2011/01/03,5000,287000
고려제강보통주,002240,2011/01/03,1000,36850
고려제약,014570,2011/01/03,500,2395
고영테크놀러지,098460,2011/01/03,500,18800
골드앤에스,035290,2011/01/03,500,475
골드퍼시픽,038530,2011/01/03,500,628
광동제약보통주,009290,2011/01/03,1000,3465
광림,014200,2011/01/03,1000,2080
광명전기보통주,017040,2011/01/03,500,1925
광무,029480,2011/01/03,500,2420
광전자보통주,017900,2011/01/03,500,4740
광주신세계보통주,037710,2011/01/03,5000,179000
광진실업,026910,2011/01/03,500,2850
교보증권보통주,030610,2011/01/03,5000,9120
구영테크,053270,2011/01/03,500,1735
국도화학보통주,007690,2011/01/03,5000,50900
국동보통주,005320,2011/01/03,1000,354
국보디자인,066620,2011/01/03,500,3400
국보보통주,001140,2011/01/03,5000,13850
국순당,043650,2011/01/03,500,11050
국영지앤엠,006050,2011/01/03,500,1270
국일제지,078130,2011/01/03,5000,7180
국제약품보통주,002720,2011/01/03,1000,2670
그래디언트,035080,2011/01/03,500,4650
그랜드코리아레저보통주,114090,2011/01/03,500,20500
그린기술투자,025340,2011/01/03,500,446
그린케미칼보통주,083420,2011/01/03,500,4340
극동유화보통주,014530,2011/01/03,5000,14050
글로벌스탠다드테크놀로지,083450,2011/01/03,500,3010
글로벌에스엠테크리미티드,900070,2011/01/03,0.5,1900
글로본,019660,2011/01/03,500,448
글로스텍(보통주),012410,2011/01/03,500,2560
금강공업보통주,014280,2011/01/03,5000,9060
금강철강,053260,2011/01/03,500,2340
금빛,045890,2011/01/03,500,7560
금성테크,058370,2011/01/03,500,1180
금양보통주,001570,2011/01/03,500,660
금호건설보통주,002990,2011/01/03,5000,16750
금호석유화학보통주,011780,2011/01/03,5000,90200
금호전기보통주,001210,2011/01/03,5000,42200
금호타이어보통주,073240,2011/01/03,5000,14350
금화피에스시,036190,2011/01/03,500,12100
기산텔레콤,035460,2011/01/03,500,3680
기아보통주,000270,2011/01/03,5000,52500
까뮤이앤씨보통주,013700,2011/01/03,5000,5750
깨끗한나라보통주,004540,2011/01/03,5000,5070
나노엔텍,039860,2011/01/03,500,5010
나노캠텍,091970,2011/01/03,500,7400
나노트로닉스,010670,2011/01/03,500,4035
나라엠앤디,051490,2011/01/03,500,3000
나이스메탈,072530,2011/01/03,500,355
나이스정보통신,036800,2011/01/03,500,4195
나이스평가정보,030190,2011/01/03,5000,30300
남광토건보통주,001260,2011/01/03,5000,3525
남선알미늄보통주,008350,2011/01/03,500,1075
남성보통주,004270,2011/01/03,5000,8220
남양유업보통주,003920,2011/01/03,5000,695000
남해화학보통주,025860,2011/01/03,1000,17900
네스테크,037540,2011/01/03,500,505
네오리진,094860,2011/01/03,500,4015
네오위즈,095660,2011/01/03,500,45400
네오위즈홀딩스,042420,2011/01/03,500,13600
네오티스,085910,2011/01/03,500,4500
네오팜,092730,2011/01/03,500,5920
네오퍼플,028090,2011/01/03,500,400
네이처셀,007390,2011/01/03,500,570
네이쳐글로벌,088020,2011/01/03,500,6
네패스,033640,2011/01/03,500,16550
넥서스투자,019430,2011/01/03,500,113
넥센보통주,005720,2011/01/03,5000,60600
넥센타이어보통주,002350,2011/01/03,500,8490
넥스콘테크놀러지,038990,2011/01/03,500,7500
넥스턴바이오사이언스,089140,2011/01/03,500,4995
넥슨지티,041140,2011/01/03,100,1550
넷웨이브,047730,2011/01/03,500,7260
노루페인트 보통주,090350,2011/01/03,500,3280
노루홀딩스보통주,000320,2011/01/03,500,5780
녹십자보통주,006280,2011/01/03,5000,140000
녹십자셀,031390,2011/01/03,500,790
녹십자홀딩스보통주,005250,2011/01/03,5000,116000
녹원씨엔아이,065560,2011/01/03,500,3325
농심보통주,004370,2011/01/03,5000,210500
농심홀딩스보통주,072710,2011/01/03,5000,58300
농업회사법인농우바이오,054050,2011/01/03,500,11000
누리플랜,069140,2011/01/03,500,7630
누리플렉스,040160,2011/01/03,500,6550
뉴보텍,060260,2011/01/03,500,558
뉴인텍,012340,2011/01/03,500,2330
뉴젠아이씨티,054150,2011/01/03,500,669
뉴프렉스,085670,2011/01/03,500,2350
다날,064260,2011/01/03,500,12900
다믈멀티미디어,093640,2011/01/03,500,2190
다산네트웍스,039560,2011/01/03,500,11350
다산자기관리부동산투자회사(보통주),105380,2011/01/03,1000,745
다스코보통주,058730,2011/01/03,500,2030
다올투자증권보통주,030210,2011/01/03,5000,5230
다우기술보통주,023590,2011/01/03,500,8700
다우데이타,032190,2011/01/03,500,3125
다원시스,068240,2011/01/03,500,12500
다함이텍(보통주),009280,2011/01/03,5000,27350
대교보통주,019680,2011/01/03,500,6150
대구백화점보통주,006370,2011/01/03,5000,13450
대구은행(보통주),005270,2011/01/03,5000,16600
대국,042340,2011/01/03,500,607
대덕GDS보통주,004130,2011/01/03,500,9400
대덕보통주,008060,2011/01/03,500,8260
대동금속,020400,2011/01/03,5000,28150
대동기어,008830,2011/01/03,5000,22550
대동보통주,000490,2011/01/03,1000,5020
대동스틸,048470,2011/01/03,500,2695
대륙제관,004780,2011/01/03,500,3365
대림B&Co보통주,005750,2011/01/03,1000,2075
대림제지,017650,2011/01/03,500,2010
대림통상보통주,006570,2011/01/03,1000,4280
대명소노시즌,007720,2011/01/03,500,1145
대봉엘에스,078140,2011/01/03,500,4390
대상보통주,001680,2011/01/03,1000,7800
대상홀딩스 보통주,084690,2011/01/03,1000,3250
대선조선,031990,2011/01/03,5000,28250
대성미생물연구소,036480,2011/01/03,5000,44100
대성산업보통주,128820,2011/01/03,5000,48100
대성에너지보통주,117580,2011/01/03,1000,11900
대성창업투자,027830,2011/01/03,500,614
대성파인텍,104040,2011/01/03,500,3255
대성합동지주보통주,005620,2011/01/03,5000,92400
대성홀딩스보통주,016710,2011/01/03,1000,9890
대신증권그로쓰알파기업인수목적,123550,2011/01/03,1000,2005
대신증권보통주,003540,2011/01/03,5000,17000
대아티아이,045390,2011/01/03,100,2430
대양글로벌,040180,2011/01/03,500,209
대양금속보통주,009190,2011/01/03,500,900
대양제지공업,006580,2011/01/03,5000,10200
대영포장보통주,014160,2011/01/03,500,516
대우건설보통주,047040,2011/01/03,5000,13100
대우송도개발(보통주),004550,2011/01/03,5000,2250
대우전자부품보통주,009320,2011/01/03,500,2025
대우조선해양보통주,042660,2011/01/03,5000,35800
대웅보통주,003090,2011/01/03,2500,17700
대웅제약보통주,069620,2011/01/03,2500,47150
대원강업보통주,000430,2011/01/03,500,4205
대원미디어,048910,2011/01/03,500,6380
대원산업,005710,2011/01/03,500,3275
대원전선보통주,006340,2011/01/03,500,744
대원제약보통주,003220,2011/01/03,500,7500
대원화성보통주,024890,2011/01/03,500,999
대유에이텍,002880,2011/01/03,500,1030
대유플러스보통주,000300,2011/01/03,500,1965
대정화금,120240,2011/01/03,500,12900
대주산업,003310,2011/01/03,500,487
대주전자재료,078600,2011/01/03,500,13950
대창단조보통주,015230,2011/01/03,5000,25800
대창보통주,012800,2011/01/03,500,1775
대창솔루션,096350,2011/01/03,500,4805
대한광통신,010170,2011/01/03,500,2210
대한그린파워,060900,2011/01/03,500,1370
대한뉴팜,054670,2011/01/03,500,8640
대한방직보통주,001070,2011/01/03,5000,36050
대한약품공업,023910,2011/01/03,500,3040
대한유화보통주,006650,2011/01/03,5000,86000
대한전선보통주,001440,2011/01/03,2500,6450
대한제강 보통주,084010,2011/01/03,1000,9680
대한제당보통주,001790,2011/01/03,5000,58100
대한제분보통주,001130,2011/01/03,5000,166000
대한종합상사,045260,2011/01/03,500,390
대한항공보통주,003490,2011/01/03,5000,68800
대한해운보통주,005880,2011/01/03,5000,26400
대한화섬보통주,003830,2011/01/03,5000,88100
대현보통주,016090,2011/01/03,500,1080
대호에이엘보통주,069460,2011/01/03,500,3635
대호특수강,021040,2011/01/03,500,1675
대화제약,067080,2011/01/03,500,2610
더 체인지,054120,2011/01/03,500,491
더이앤엠,089230,2011/01/03,500,12850
더존비즈온보통주,012510,2011/01/03,500,16800
덕산하이메탈,077360,2011/01/03,200,22000
덕성보통주,004830,2011/01/03,500,2740
덕양산업보통주,024900,2011/01/03,5000,10350
데코앤이,017680,2011/01/03,5000,9640
도이치모터스,067990,2011/01/03,500,4655
도화엔지니어링보통주,002150,2011/01/03,500,14650
동국산업,005160,2011/01/03,1000,5040
동국알앤에스,075970,2011/01/03,1000,1945
동국에스엔씨,100130,2011/01/03,500,7980
동국제강보통주,001230,2011/01/03,5000,34950
동국제약,086450,2011/01/03,2500,14700
동방보통주,004140,2011/01/03,1000,2200
동방선기,099410,2011/01/03,500,2800
동방아그로보통주,007590,2011/01/03,500,6410
동부건설보통주,005960,2011/01/03,5000,8120
동부티에스블랙펄기업인수목적,128910,2011/01/03,100,2005
동북아8호 선박투자회사 (보통주),082110,2011/01/03,5000,5100
동서,026960,2011/01/03,500,37400
동성제약보통주,002210,2011/01/03,1000,1415
동성케미컬보통주,102260,2011/01/03,5000,8110
동성하이켐,013450,2011/01/03,500,3295
동성화인텍,033500,2011/01/03,500,3960
동성화학보통주,005190,2011/01/03,5000,15100
동신건설,025950,2011/01/03,500,6710
동아쏘시오홀딩스보통주,000640,2011/01/03,5000,128500
동아엘텍,088130,2011/01/03,500,6870
동아지질보통주,028100,2011/01/03,500,15950
동아화성,041930,2011/01/03,500,2065
동양건설산업(보통주),005900,2011/01/03,5000,13450
동양고속보통주,084670,2011/01/03,5000,21000
