회사명,거래소코드,회계년도,액면가(원),종가(원)
AJ네트웍스보통주,095570,2018/01/02,1000,6970
AK홀딩스보통주,006840,2018/01/02,5000,73600
BGF리테일보통주,282330,2018/01/02,1000,210500
BGF보통주,027410,2018/01/02,1000,15500
BNK금융지주보통주,138930,2018/01/02,5000,9430
BYC보통주,001460,2018/01/02,5000,304000
CJ보통주,001040,2018/01/02,5000,176500
CJ씨푸드보통주,011150,2018/01/02,500,2890
CMG제약,058820,2018/01/02,500,7580
CS홀딩스보통주,000590,2018/01/02,5000,80100
DB Inc.보통주,012030,2018/01/02,500,697
DB금융투자보통주,016610,2018/01/02,5000,4030
DB손해보험보통주,005830,2018/01/02,500,70300
DB하이텍보통주,000990,2018/01/02,5000,11850
DGB금융지주보통주,139130,2018/01/02,5000,10500
DI동일보통주,001530,2018/01/02,5000,53700
DL건설보통주,001880,2018/01/02,5000,15000
DL보통주,000210,2018/01/02,5000,81800
DSR보통주,155660,2018/01/02,500,5240
DSR제강보통주,069730,2018/01/02,500,5390
E1보통주,017940,2018/01/02,5000,56200
ES큐브,050120,2018/01/02,500,1180
F&F홀딩스,007700,2018/01/02,500,42200
GS건설보통주,006360,2018/01/02,5000,28650
GS보통주,078930,2018/01/02,5000,62500
HDC보통주,012630,2018/01/02,5000,40450
HJ중공업보통주,097230,2018/01/02,5000,3410
IHQ보통주,003560,2018/01/02,500,2505
JB금융지주보통주,175330,2018/01/02,5000,6150
JW생명과학보통주,234080,2018/01/02,5000,43200
JW중외제약보통주,001060,2018/01/02,2500,45600
JW홀딩스 보통주,096760,2018/01/02,500,8420
KB KBSTAR 200선물레버리지증권상장지수투자신탁(주식-파생형),252400,2018/01/02,0,16160
KB KBSTAR 200선물인버스2X증권상장지수투자신탁(주식-파생형),252420,2018/01/02,0,5770
KB KBSTAR 200선물인버스증권상장지수투자신탁(주식-파생형),252410,2018/01/02,0,7700
KB KBSTAR 국고채3년선물인버스증권상장지수투자신탁(채권-파생형),282000,2018/01/02,0,100015
KB KBSTAR 글로벌4차산업IT증권상장지수투자신탁(주식-파생형)(합성 H),276650,2018/01/02,0,11030
KB KBSTAR 단기국공채액티브증권상장지수투자신탁(채권),272560,2018/01/02,0,100080
KB KBSTAR 단기통안채증권상장지수투자신탁(채권),196230,2018/01/02,0,102875
KB KBSTAR 미국S&P원유생산기업증권상장지수투자신탁(주식-파생형)(합성 H),219390,2018/01/02,0,7200
KB KBSTAR 미국장기국채선물레버리지증권상장지수투자신탁(채권-파생형)(합성 H),267490,2018/01/02,0,10305
KB KBSTAR 미국장기국채선물인버스2X증권상장지수투자신탁(채권-파생형)(합성 H),267500,2018/01/02,0,9480
KB KBSTAR 미국장기국채선물인버스증권상장지수투자신탁(채권-파생형)(H),267450,2018/01/02,0,9715
KB KBSTAR 미국장기국채선물증권상장지수투자신탁(채권-파생형)(H),267440,2018/01/02,0,10205
KB KBSTAR 일본레버리지증권상장지수투자신탁(주식-재간접파생형)(H),196220,2018/01/02,0,18445
KB KBSTAR 중국본토대형주CSI100증권상장지수자투자신탁(주식),174360,2018/01/02,0,15735
KB KBSTAR 중장기국공채액티브증권상장지수투자신탁(채권),272570,2018/01/02,0,99185
KB KBSTAR 차이나HSCEI증권상장지수투자신탁(주식)(H),250730,2018/01/02,0,13360
KB KBSTAR 코스닥150선물레버리지증권상장지수투자신탁(주식-파생형),278240,2018/01/02,0,19705
KB KBSTAR 코스닥150선물인버스증권상장지수투자신탁(주식-파생형),275750,2018/01/02,0,6745
KB금융지주 보통주,105560,2018/01/02,5000,63100
KB오토시스,024120,2018/01/02,500,6840
KCTC 보통주,009070,2018/01/02,500,2540
KD,044180,2018/01/02,100,175
KG스틸보통주,016380,2018/01/02,5000,9640
KG케미칼보통주,001390,2018/01/02,5000,26950
KH 필룩스보통주,033180,2018/01/02,500,3130
KINDEX골드선물레버리지특별자산상장지수투자신탁(금-파생형)(합성 H),225130,2018/01/02,0,12090
KISCO홀딩스보통주,001940,2018/01/02,5000,74700
