회사명,거래소코드,회계년도,액면가(원),종가(원)
AK홀딩스보통주,006840,2014/01/02,5000,41000
BNK금융지주보통주,138930,2014/01/02,5000,16250
BYC보통주,001460,2014/01/02,5000,185500
CJ보통주,001040,2014/01/02,5000,117500
CJ씨푸드보통주,011150,2014/01/02,500,2415
CMG제약,058820,2014/01/02,500,919
CS홀딩스보통주,000590,2014/01/02,5000,36000
DB Inc.보통주,012030,2014/01/02,5000,4265
DB금융투자보통주,016610,2014/01/02,5000,3300
DB손해보험보통주,005830,2014/01/02,500,57700
DB하이텍보통주,000990,2014/01/02,5000,7480
DGB금융지주보통주,139130,2014/01/02,5000,16400
DI동일보통주,001530,2014/01/02,5000,50200
DL건설보통주,001880,2014/01/02,5000,3300
DL보통주,000210,2014/01/02,5000,92600
DSR보통주,155660,2014/01/02,500,3785
DSR제강보통주,069730,2014/01/02,500,3095
E1보통주,017940,2014/01/02,5000,67000
ES큐브,050120,2014/01/02,500,1520
F&F홀딩스,007700,2014/01/02,500,7100
GS건설보통주,006360,2014/01/02,5000,30400
GS보통주,078930,2014/01/02,5000,56400
HDC보통주,012630,2014/01/02,5000,23000
HJ중공업보통주,097230,2014/01/02,5000,11700
IHQ보통주,003560,2014/01/02,500,2210
JB금융지주보통주,175330,2014/01/02,5000,6240
JW중외제약보통주,001060,2014/01/02,2500,16100
JW홀딩스 보통주,096760,2014/01/02,500,2500
KB KBSTAR 레버리지증권상장지수투자신탁(주식-파생재간접형),123760,2014/01/02,0,10515
KB KBSTAR 중국본토대형주CSI100증권상장지수자투자신탁(주식),174360,2014/01/02,0,8220
KB금융지주 보통주,105560,2014/01/02,5000,42100
KB손해보험보통주,002550,2014/01/02,500,33500
KB오토시스,024120,2014/01/02,500,4225
KCTC 보통주,009070,2014/01/02,5000,19500
KD,044180,2014/01/02,100,168
KG스틸보통주,016380,2014/01/02,5000,2695
KG케미칼보통주,001390,2014/01/02,5000,16550
KH 필룩스보통주,033180,2014/01/02,500,1685
KISCO홀딩스보통주,001940,2014/01/02,5000,40200
KPX케미칼보통주,025000,2014/01/02,5000,61900
KPX홀딩스보통주,092230,2014/01/02,5000,44500
KR모터스보통주,000040,2014/01/02,500,438
LF보통주,093050,2014/01/02,5000,32350
LG디스플레이보통주,034220,2014/01/02,5000,24750
LG보통주,003550,2014/01/02,5000,62700
LG생명과학보통주,068870,2014/01/02,5000,39950
LG생활건강보통주,051900,2014/01/02,5000,544000
LG유플러스보통주,032640,2014/01/02,5000,10900
LG이노텍보통주,011070,2014/01/02,5000,83100
LG전자보통주,066570,2014/01/02,5000,67000
LG화학보통주,051910,2014/01/02,5000,292000
LS ELECTRIC보통주,010120,2014/01/02,5000,66900
LS네트웍스보통주,000680,2014/01/02,5000,4720
LS보통주,006260,2014/01/02,5000,80300
LX인터내셔널보통주,001120,2014/01/02,5000,28150
MDS테크,086960,2014/01/02,500,14850
MH에탄올보통주,023150,2014/01/02,500,2965
NAVER보통주,035420,2014/01/02,500,725000
NHN보통주,181710,2014/01/02,500,93700
NH농협증권(보통주),016420,2014/01/02,5000,4915
NICE보통주,034310,2014/01/02,500,11800
NI스틸보통주,008260,2014/01/02,500,1810
NPC보통주,004250,2014/01/02,500,4995
OCI보통주,010060,2014/01/02,5000,188500
S-Oil보통주,010950,2014/01/02,2500,72500
SBS미디어홀딩스보통주,101060,2014/01/02,500,5240
SGC에너지보통주,005090,2014/01/02,5000,46000
SG글로벌보통주,001380,2014/01/02,500,1550
SHD보통주,001770,2014/01/02,5000,10400
SH에너지화학보통주,002360,2014/01/02,500,720
SIMPAC보통주,009160,2014/01/02,500,6960
SJM보통주,123700,2014/01/02,500,10200
SJM홀딩스보통주,025530,2014/01/02,500,4920
SKC보통주,011790,2014/01/02,5000,29850
SK가스보통주,018670,2014/01/02,5000,75000
SK네트웍스보통주,001740,2014/01/02,2500,7400
SK보통주,034730,2014/01/02,200,131500
SK보통주,003600,2014/01/02,5000,190500
SK이노베이션 보통주,096770,2014/01/02,5000,140000
SK증권보통주,001510,2014/01/02,500,707
SK텔레콤보통주,017670,2014/01/02,500,228000
SNT모티브보통주,064960,2014/01/02,5000,26400
SNT에너지보통주,100840,2014/01/02,500,16300
SNT중공업보통주,003570,2014/01/02,2500,12100
SNT홀딩스보통주,036530,2014/01/02,500,15200
SPC삼립보통주,005610,2014/01/02,5000,60000
STX보통주,011810,2014/01/02,2500,2635
STX엔진보통주,077970,2014/01/02,2500,4605
STX조선해양(보통주),067250,2014/01/02,2500,6790
STX중공업보통주,071970,2014/01/02,2500,3255
TBH글로벌보통주,084870,2014/01/02,500,22850
TCC스틸보통주,002710,2014/01/02,1000,3595
WISCOM보통주,024070,2014/01/02,500,4925
가비아,079940,2014/01/02,500,4985
가온미디어,078890,2014/01/02,500,5650
가온전선보통주,000500,2014/01/02,5000,18950
감성코퍼레이션,036620,2014/01/02,500,1250
강남제비스코보통주,000860,2014/01/02,1000,28100
강원랜드보통주,035250,2014/01/02,500,30850
강원에너지,114190,2014/01/02,500,2210
갤럭시아머니트리,094480,2014/01/02,500,1280
갤럭시아에스엠보통주,011420,2014/01/02,500,1940
경남기업보통주,000800,2014/01/02,5000,3570
경남스틸,039240,2014/01/02,500,6520
경남에너지보통주,008020,2014/01/02,500,6090
경남제약,053950,2014/01/02,500,1625
경농보통주,002100,2014/01/02,500,3580
경동나비엔보통주,009450,2014/01/02,1000,17250
경동인베스트보통주,012320,2014/01/02,5000,97400
경동제약,011040,2014/01/02,1000,12850
경방보통주,000050,2014/01/02,5000,111500
경인양행보통주,012610,2014/01/02,500,4020
경인전자보통주,009140,2014/01/02,5000,16550
경창산업,024910,2014/01/02,500,9120
계룡건설산업보통주,013580,2014/01/02,5000,8310
계양전기보통주,012200,2014/01/02,500,2770
고려개발보통주,004200,2014/01/02,5000,2135
고려산업보통주,002140,2014/01/02,1000,1130
고려신용정보,049720,2014/01/02,500,900
고려아연보통주,010130,2014/01/02,5000,315500
고려제강보통주,002240,2014/01/02,1000,36800
고려제약,014570,2014/01/02,500,3110
고영테크놀러지,098460,2014/01/02,500,27650
골드앤에스,035290,2014/01/02,500,173
골드퍼시픽,038530,2014/01/02,500,843
골프존뉴딘홀딩스,121440,2014/01/02,500,19950
광동제약보통주,009290,2014/01/02,1000,7480
광림,014200,2014/01/02,1000,1735
광명전기보통주,017040,2014/01/02,500,2030
광무,029480,2014/01/02,500,1575
