회사명,거래소코드,회계년도,액면가(원),종가(원)
3노드디지탈그룹유한공사,900010,2012/12/28,0.1,865
AK홀딩스보통주,006840,2012/12/28,5000,22200
BNK금융지주보통주,138930,2012/12/28,5000,13200
BYC보통주,001460,2012/12/28,5000,184000
CJ보통주,001040,2012/12/28,5000,118500
CJ씨푸드보통주,011150,2012/12/28,500,3015
CMG제약,058820,2012/12/28,500,1330
CS홀딩스보통주,000590,2012/12/28,5000,33650
DB Inc.보통주,012030,2012/12/28,5000,6210
DB금융투자보통주,016610,2012/12/28,5000,3610
DB손해보험보통주,005830,2012/12/28,500,45950
DB하이텍보통주,000990,2012/12/28,5000,6330
DGB금융지주보통주,139130,2012/12/28,5000,14550
DI동일보통주,001530,2012/12/28,5000,42700
DL건설보통주,001880,2012/12/28,5000,1610
DL보통주,000210,2012/12/28,5000,87000
DSR제강보통주,069730,2012/12/28,500,2950
E1보통주,017940,2012/12/28,5000,69200
ES큐브,050120,2012/12/28,500,3430
F&F홀딩스,007700,2012/12/28,500,5920
GS건설보통주,006360,2012/12/28,5000,57300
GS보통주,078930,2012/12/28,5000,72000
HDC보통주,012630,2012/12/28,5000,21650
HJ중공업보통주,097230,2012/12/28,5000,12500
IHQ보통주,003560,2012/12/28,500,1925
JW중외제약보통주,001060,2012/12/28,2500,14150
JW홀딩스 보통주,096760,2012/12/28,500,2320
KB KBSTAR 레버리지증권상장지수투자신탁(주식-파생재간접형),123760,2012/12/28,0,11530
KB금융지주 보통주,105560,2012/12/28,5000,37900
KB손해보험보통주,002550,2012/12/28,500,25850
KB오토시스,024120,2012/12/28,500,4365
KCTC 보통주,009070,2012/12/28,5000,15750
KD,044180,2012/12/28,100,129
KG스틸보통주,016380,2012/12/28,5000,3950
KG케미칼보통주,001390,2012/12/28,5000,11400
KH 필룩스보통주,033180,2012/12/28,500,1430
KISCO홀딩스보통주,001940,2012/12/28,5000,37800
KPX케미칼보통주,025000,2012/12/28,5000,49450
KPX홀딩스보통주,092230,2012/12/28,5000,40050
KR모터스보통주,000040,2012/12/28,500,494
LF보통주,093050,2012/12/28,5000,31300
LG디스플레이보통주,034220,2012/12/28,5000,31050
LG보통주,003550,2012/12/28,5000,65200
LG생명과학보통주,068870,2012/12/28,5000,45050
LG생활건강보통주,051900,2012/12/28,5000,657000
LG유플러스보통주,032640,2012/12/28,5000,7800
LG이노텍보통주,011070,2012/12/28,5000,82300
LG전자보통주,066570,2012/12/28,5000,73600
LG화학보통주,051910,2012/12/28,5000,330000
LS ELECTRIC보통주,010120,2012/12/28,5000,67100
LS네트웍스보통주,000680,2012/12/28,5000,4270
LS보통주,006260,2012/12/28,5000,94300
LX인터내셔널보통주,001120,2012/12/28,5000,48350
MDS테크,086960,2012/12/28,500,13250
MH에탄올보통주,023150,2012/12/28,500,2765
NAVER보통주,035420,2012/12/28,500,227000
NH농협증권(보통주),016420,2012/12/28,5000,5130
NICE보통주,034310,2012/12/28,5000,63600
NI스틸보통주,008260,2012/12/28,500,1710
NPC보통주,004250,2012/12/28,500,2445
OCI보통주,010060,2012/12/28,5000,165500
S-Oil보통주,010950,2012/12/28,2500,104000
SBS미디어홀딩스보통주,101060,2012/12/28,500,8600
SGC에너지보통주,005090,2012/12/28,5000,70500
SG글로벌보통주,001380,2012/12/28,500,1340
SHD보통주,001770,2012/12/28,5000,12450
SH에너지화학보통주,002360,2012/12/28,500,991
SIMPAC보통주,009160,2012/12/28,500,7620
SJM보통주,123700,2012/12/28,500,7810
SJM홀딩스보통주,025530,2012/12/28,500,3735
SKC보통주,011790,2012/12/28,5000,42100
SK가스보통주,018670,2012/12/28,5000,88000
SK네트웍스보통주,001740,2012/12/28,2500,8450
SK보통주,003600,2012/12/28,5000,179000
SK보통주,034730,2012/12/28,200,103000
SK이노베이션 보통주,096770,2012/12/28,5000,174000
SK증권보통주,001510,2012/12/28,500,1185
SK텔레콤보통주,017670,2012/12/28,500,152500
SNT모티브보통주,064960,2012/12/28,5000,23450
SNT에너지보통주,100840,2012/12/28,500,16400
SNT중공업보통주,003570,2012/12/28,2500,11900
SNT홀딩스보통주,036530,2012/12/28,500,9730
SPC삼립보통주,005610,2012/12/28,5000,24900
STX보통주,011810,2012/12/28,2500,8400
STX엔진보통주,077970,2012/12/28,2500,9280
STX조선해양(보통주),067250,2012/12/28,2500,7300
STX중공업보통주,071970,2012/12/28,2500,5230
TBH글로벌보통주,084870,2012/12/28,500,14650
TCC스틸보통주,002710,2012/12/28,1000,4615
WISCOM보통주,024070,2012/12/28,500,4295
가비아,079940,2012/12/28,500,4035
가온미디어,078890,2012/12/28,500,4910
가온전선보통주,000500,2012/12/28,5000,22100
감성코퍼레이션,036620,2012/12/28,500,1170
강남제비스코보통주,000860,2012/12/28,1000,19650
강원랜드보통주,035250,2012/12/28,500,29250
강원에너지,114190,2012/12/28,500,4405
갤럭시아머니트리,094480,2012/12/28,500,2255
갤럭시아에스엠보통주,011420,2012/12/28,500,1600
경남기업보통주,000800,2012/12/28,5000,5340
경남스틸,039240,2012/12/28,500,6520
경남에너지보통주,008020,2012/12/28,500,4040
경남제약,053950,2012/12/28,500,682
경농보통주,002100,2012/12/28,500,3195
경동나비엔보통주,009450,2012/12/28,1000,11700
경동인베스트보통주,012320,2012/12/28,5000,75700
경동제약,011040,2012/12/28,1000,13000
경방보통주,000050,2012/12/28,5000,89600
경인양행보통주,012610,2012/12/28,500,2730
경인전자보통주,009140,2012/12/28,5000,13400
경창산업,024910,2012/12/28,500,4665
