회사명,거래소코드,회계년도,종가(원),액면가(원)
테크엘,064520,2017/12/26,1535,500
테크엘,064520,2017/12/27,1575,500
테크엘,064520,2017/12/28,1580,500
테크윙,089030,2017/12/26,20100,500
테크윙,089030,2017/12/27,20400,500
테크윙,089030,2017/12/28,20550,500
텔레칩스,054450,2017/12/26,12000,500
텔레칩스,054450,2017/12/27,12400,500
텔레칩스,054450,2017/12/28,11750,500
텔레필드,091440,2017/12/26,2780,500
텔레필드,091440,2017/12/27,2955,500
텔레필드,091440,2017/12/28,2960,500
텔코웨어 보통주,078000,2017/12/26,12350,500
텔코웨어 보통주,078000,2017/12/27,12000,500
텔코웨어 보통주,078000,2017/12/28,12050,500
텔콘알에프제약,200230,2017/12/26,13400,100
텔콘알에프제약,200230,2017/12/27,14500,100
텔콘알에프제약,200230,2017/12/28,14900,100
토니모리보통주,214420,2017/12/26,17600,200
토니모리보통주,214420,2017/12/27,17550,200
토니모리보통주,214420,2017/12/28,17700,200
토박스코리아,215480,2017/12/26,1575,100
토박스코리아,215480,2017/12/27,1575,100
토박스코리아,215480,2017/12/28,1570,100
토비스,051360,2017/12/26,7790,500
토비스,051360,2017/12/27,7820,500
토비스,051360,2017/12/28,7860,500
토탈소프트뱅크,045340,2017/12/26,3350,500
토탈소프트뱅크,045340,2017/12/27,3300,500
토탈소프트뱅크,045340,2017/12/28,3350,500
톱텍,108230,2017/12/26,26450,500
톱텍,108230,2017/12/27,28500,500
톱텍,108230,2017/12/28,28500,500
투비소프트,079970,2017/12/26,7640,500
투비소프트,079970,2017/12/27,8080,500
투비소프트,079970,2017/12/28,8140,500
트레이스,052290,2017/12/26,2190,500
트레이스,052290,2017/12/27,2350,500
트레이스,052290,2017/12/28,2335,500
트루윈,105550,2017/12/26,4560,500
트루윈,105550,2017/12/27,4560,500
트루윈,105550,2017/12/28,4540,500
특수건설,026150,2017/12/26,3785,500
특수건설,026150,2017/12/27,3810,500
특수건설,026150,2017/12/28,3860,500
티비씨,033830,2017/12/26,631,500
티비씨,033830,2017/12/27,630,500
티비씨,033830,2017/12/28,645,500
