회사명,거래소코드,회계년도,종가(원),액면가(원)
테크엘,064520,2018/12/24,418,500
테크엘,064520,2018/12/26,418,500
테크엘,064520,2018/12/27,418,500
테크엘,064520,2018/12/28,418,500
테크윙,089030,2018/12/24,9360,500
테크윙,089030,2018/12/26,9360,500
테크윙,089030,2018/12/27,9240,500
테크윙,089030,2018/12/28,9170,500
텔레칩스,054450,2018/12/24,8420,500
텔레칩스,054450,2018/12/26,8260,500
텔레칩스,054450,2018/12/27,8290,500
텔레칩스,054450,2018/12/28,8600,500
텔레필드,091440,2018/12/24,2580,500
텔레필드,091440,2018/12/26,2485,500
텔레필드,091440,2018/12/27,2550,500
텔레필드,091440,2018/12/28,2665,500
텔코웨어 보통주,078000,2018/12/24,12950,500
텔코웨어 보통주,078000,2018/12/26,12950,500
텔코웨어 보통주,078000,2018/12/27,12600,500
텔코웨어 보통주,078000,2018/12/28,12750,500
텔콘알에프제약,200230,2018/12/24,7980,100
텔콘알에프제약,200230,2018/12/26,8070,100
텔콘알에프제약,200230,2018/12/27,8120,100
텔콘알에프제약,200230,2018/12/28,8280,100
토니모리보통주,214420,2018/12/24,10900,200
토니모리보통주,214420,2018/12/26,10900,200
토니모리보통주,214420,2018/12/27,11300,200
토니모리보통주,214420,2018/12/28,11250,200
토박스코리아,215480,2018/12/24,867,100
토박스코리아,215480,2018/12/26,838,100
토박스코리아,215480,2018/12/27,839,100
토박스코리아,215480,2018/12/28,848,100
토비스,051360,2018/12/24,6710,500
토비스,051360,2018/12/26,6670,500
토비스,051360,2018/12/27,6670,500
토비스,051360,2018/12/28,6690,500
토탈소프트뱅크,045340,2018/12/24,2760,500
토탈소프트뱅크,045340,2018/12/26,2640,500
토탈소프트뱅크,045340,2018/12/27,2660,500
토탈소프트뱅크,045340,2018/12/28,2555,500
톱텍,108230,2018/12/24,7670,500
톱텍,108230,2018/12/26,7670,500
톱텍,108230,2018/12/27,7670,500
톱텍,108230,2018/12/28,7670,500
투비소프트,079970,2018/12/24,4720,500
투비소프트,079970,2018/12/26,4795,500
투비소프트,079970,2018/12/27,5120,500
투비소프트,079970,2018/12/28,5400,500
트루윈,105550,2018/12/24,4000,500
트루윈,105550,2018/12/26,3950,500
트루윈,105550,2018/12/27,3980,500
트루윈,105550,2018/12/28,4150,500
특수건설,026150,2018/12/24,5700,500
특수건설,026150,2018/12/26,5300,500
특수건설,026150,2018/12/27,5330,500
특수건설,026150,2018/12/28,5530,500
티로보틱스,117730,2018/12/24,9530,500
티로보틱스,117730,2018/12/26,9000,500
티로보틱스,117730,2018/12/27,9030,500
티로보틱스,117730,2018/12/28,9450,500
티비씨,033830,2018/12/24,555,500
티비씨,033830,2018/12/26,559,500
티비씨,033830,2018/12/27,560,500
티비씨,033830,2018/12/28,575,500
티사이언티픽,057680,2018/12/24,1830,500
티사이언티픽,057680,2018/12/26,1740,500
티사이언티픽,057680,2018/12/27,1710,500
티사이언티픽,057680,2018/12/28,1730,500
티씨케이,064760,2018/12/24,40700,500
티씨케이,064760,2018/12/26,40450,500
티씨케이,064760,2018/12/27,40250,500
티씨케이,064760,2018/12/28,40400,500
티앤알바이오팹,246710,2018/12/24,8840,500
티앤알바이오팹,246710,2018/12/26,8470,500
티앤알바이오팹,246710,2018/12/27,8480,500
티앤알바이오팹,246710,2018/12/28,8910,500
티에스넥스젠,043220,2018/12/24,651,500
티에스넥스젠,043220,2018/12/26,650,500
