회사명,거래소코드,회계년도,매출액증가율,총자본증가율,유동자산증가율,유형자산증가율,영업이익증가율,순이익증가율
(주)CMG제약,58820,2011,0.5639690481910844,0.019778098940502975,0.17636025477687478,-0.0590393782604397,0.0,0.0
(주)CMG제약,58820,2012,-0.08429134465063182,1.0914711916756654,2.0707711479837223,-0.04123268820332271,3.415718678602542,3.415718678602542
(주)CMG제약,58820,2013,0.25510007788801614,-0.020933516623361292,-0.18891238959988566,0.16090388356378238,-1.0467241798944737,-1.0444706267082013
(주)CMG제약,58820,2014,0.11520575782736509,0.03855596818196294,-0.2593257277425818,0.7430462415313077,-0.4921462771939973,-0.4664107420800119
(주)CMG제약,58820,2015,0.18851968637935812,-0.026443073285770335,-0.07170528358049999,-0.05369645756095098,-24.096140825998646,-24.096140825998646
(주)CMG제약,58820,2016,0.21921286282684194,0.9631050606867824,1.9983769173831498,-0.05143249520773441,-1.4639508987584144,-1.4733840882323208
(주)CMG제약,58820,2017,0.25980614091824883,-0.01272045135898392,0.031167454620190105,-0.042783861220761055,0.6740259456510123,0.6406674016650318
(주)CMG제약,58820,2018,0.20053150565726918,0.043915379316469716,0.0017615376499511282,0.06711050777141114,1.13941368675661,1.13941368675661
(주)CMG제약,58820,2019,0.17563295473747376,0.6807428544250964,0.8505997050647953,0.396725489452348,-0.49692268425559927,-0.49692268425559927
(주)DB하이텍,990,2011,-0.10939045401806735,-0.131914641120065,-0.10082155252803227,-0.07891035094433085,0.0,0.0
(주)DB하이텍,990,2012,0.06984626647483005,-0.03443480181791414,0.10516946719194875,-0.0968680153775291,0.0,0.0
(주)DB하이텍,990,2013,-0.1642462411902691,-0.08582402696551095,-0.2787807818337896,-0.07200097563275032,0.7400599215729395,1.6497535298292179
(주)DB하이텍,990,2014,0.14980433862643294,-0.06945933800441495,0.11043054224354343,-0.06957590644490641,0.0,0.0
(주)DB하이텍,990,2015,0.17416520876032338,-0.00023650068596003937,0.36422179267359867,-0.09910138808812963,-2.6456986680646706,-2.6456986680646706
(주)DB하이텍,990,2016,0.15983497487658127,0.002178310767499303,0.09227616438605346,0.027310996575498292,-0.30291421629880033,-0.30291421629880033
(주)DB하이텍,990,2017,-0.12080918624614745,0.007258037033691878,-0.04136722271122506,0.01436167169289515,0.24711430942613455,0.24711430942613455
(주)DB하이텍,990,2018,-0.015386239902546839,0.07302486787272522,0.08402380051004577,0.07560504579075533,-0.21190199356226525,-0.21190199356226525
(주)DB하이텍,990,2019,0.2063971212752702,0.020961332084877826,0.11185925949812936,0.031800949488317354,0.2050961266662219,0.2050961266662219
(주)ES큐브,50120,2011,0.21629513389227206,0.1278327335387177,0.038306173343550354,0.2782093949931612,1.9388660174710535,1.9388660174710535
(주)ES큐브,50120,2012,0.04854247527236444,-0.16575097240241687,-0.3336793219241806,-0.26246628868890176,0.0,0.0
(주)ES큐브,50120,2013,0.04692085370342691,0.018493567430381663,0.6892236255189257,-0.3155961249661333,44.81062647543539,44.81062647543539
(주)ES큐브,50120,2014,-0.2412699097490073,0.20099174388974173,0.20485188560763712,0.0558884554658603,0.0,0.0
(주)ES큐브,50120,2015,-0.05188114570850322,-0.01751499456756711,-0.10892968432291694,-0.14399692066136194,2.748984821476449,2.748984821476449
(주)ES큐브,50120,2016,-0.1865487190972821,0.8907604564378317,0.23567763062407132,2.5891044134548844,-10.336611390892434,-10.336611390892434
(주)ES큐브,50120,2017,0.04247404845552061,0.006917772902078401,0.002991258195165658,0.6455334614705637,-0.9193203097323914,-0.9193203097323914
(주)ES큐브,50120,2018,-0.055455083750552636,0.061749300332807566,-0.1170992887321678,0.3078534971000597,-4.522282031733245,-4.522282031733245
(주)ES큐브,50120,2019,0.2945408101551532,3.1266119590472714,6.967548552287039,0.14019791106230794,1.2490947423997731,1.2490947423997731
(주)HJ중공업,97230,2011,-0.08721423939965411,-0.06493812989486358,-0.13264475293832623,-0.015302118427241718,0.34061830002074833,0.34061830002074833
(주)HJ중공업,97230,2012,-0.11834000288431712,-0.06417614556864881,-0.04905604362061111,-0.07724159644823814,0.0,0.0
(주)HJ중공업,97230,2013,-0.007836602637802503,0.01492552952555104,0.22631892994977165,-0.03213325613135365,2.5741158341789756,2.5741158341789756
(주)HJ중공업,97230,2014,-0.003564564841197715,-0.03188432079042647,-0.050691525141740024,-0.037277717123072596,0.5763513904297213,0.5763513904297213
(주)HJ중공업,97230,2015,0.23613938678543445,-0.0858767559507434,-0.08235399432075285,0.011799992676325699,0.0,0.0
(주)HJ중공업,97230,2016,-0.09700035917499528,-0.11127868033152333,-0.023576054157667947,-0.1211535304992244,0.28177062374245465,0.28177062374245465
(주)HJ중공업,97230,2017,-0.1283050939635748,-0.19971771898371227,-0.20152422560967131,-0.2544578902619411,0.0,0.0
(주)HJ중공업,97230,2018,-0.3076461660293095,-0.35016776987891807,-0.09146793751956672,-0.6436103557284907,-1.069232097504119,3.617800689263179
(주)HJ중공업,97230,2019,-0.04070867658223343,-0.09635501642510669,-0.24427133149631652,-0.037021439809632684,-2.8363730839179007,-1.238514949982355
(주)MH에탄올,23150,2011,-0.18644124541678853,-0.0049123752181555735,-0.0067280997966170375,0.029153553429026813,1.4307679605660266,1.4307679605660266
(주)MH에탄올,23150,2012,0.3345531496270897,0.001333478869867788,0.09484062734824539,-0.04549217869631672,-1.0659509807881555,-1.0659509807881555
(주)MH에탄올,23150,2013,0.04068573283356902,-0.03488371945928548,-0.1366078683573957,-0.019921147681307705,23.45717526942711,23.45717526942711
