회사명,거래소코드,회계년도,종가,RETA,EBTA,OM,종업원수증가율
(주)CMG제약,58820,2011,785.0,-1.6469852004003047,-0.055237907448977296,-0.08496547711701367,0.04651162790697683
(주)CMG제약,58820,2012,1330.0,-0.9170125885087799,-0.11662367651066964,-0.4097194475013794,-0.007407407407407418
(주)CMG제약,58820,2013,932.0,-0.9327320588040294,0.0055656543592895215,0.015252811714849521,0.014925373134328401
(주)CMG제약,58820,2014,912.0,-0.9011827549497466,0.002721604201230116,0.006945980289535465,0.2058823529411764
(주)CMG제약,58820,2015,2110.0,-0.9967379657208332,-0.06456587404332785,-0.13497911795675258,-0.04878048780487809
(주)CMG제약,58820,2016,3180.0,-0.4914993095098952,0.01479763892670731,0.04981039480797972,0.02564102564102555
(주)CMG제약,58820,2017,6240.0,-0.0310100417591232,0.02619661755181727,0.0691049564532468,0.25
(주)CMG제약,58820,2018,4235.0,0.020185927804785248,0.03196021013485938,0.07331035759867556,0.1100000000000001
(주)CMG제약,58820,2019,4250.0,0.026293309172821258,0.019957078734335866,0.06544586386282811,0.0855855855855856
(주)DB하이텍,990,2011,7250.0,-0.44151153655579883,-0.07756761983826965,-0.16842492382671576,0.05377668308702788
(주)DB하이텍,990,2012,6330.0,-0.48597279125103626,-0.04212529740240015,-0.08255228579296824,-0.10245422672380211
(주)DB하이텍,990,2013,7530.0,-0.06817946701614379,-0.07689183867397797,-0.16482300706621097,-0.0703125
(주)DB하이텍,990,2014,4615.0,-0.13621787246864897,-0.09033600833637807,-0.15671475784790026,-0.06676003734827263
(주)DB하이텍,990,2015,14300.0,-0.011098662253986953,0.11763049577063668,0.17375487403717904,0.00250125062531259
(주)DB하이텍,990,2016,15900.0,0.0768846419109118,0.08663814967650436,0.1105796053698826,0.02145708582834338
(주)DB하이텍,990,2017,12000.0,0.15376982271314216,0.10560040542050214,0.15441484591151378,-0.052271617000488546
(주)DB하이텍,990,2018,10850.0,0.2529419347819287,0.09011809695602345,0.1436082418083925,0.0077319587628865705
(주)DB하이텍,990,2019,27600.0,0.3434780834251723,0.13221304734222833,0.17830382922493515,0.012276214833759624
(주)ES큐브,50120,2011,2120.0,-0.05620574655111326,-0.08284716817583175,-0.08610189458394417,0.20304568527918776
(주)ES큐브,50120,2012,3430.0,0.010538213192871647,-0.00241886310905875,-0.0020001198117308547,-0.00421940928270037
(주)ES큐브,50120,2013,1540.0,-0.29624885439053045,-0.3427991296879031,-0.2757584765634753,-0.576271186440678
(주)ES큐브,50120,2014,1395.0,-0.043921645643147836,-0.005877145549563169,-0.007483561304817515,-0.73
(주)ES큐브,50120,2015,1605.0,0.06555713131972726,-0.03720959333538055,-0.04909756411689834,0.4444444444444444
(주)ES큐브,50120,2016,1705.0,0.2007015457840358,0.20650831773033643,0.6333554830452631,-0.23076923076923073
(주)ES큐브,50120,2017,1030.0,0.21019920734242284,0.01712394474335397,0.05072739466914625,0.16666666666666674
(주)ES큐브,50120,2018,668.0,0.17039562683908524,-0.05398483171387338,-0.17976695431055328,-0.1428571428571429
(주)ES큐브,50120,2019,852.0,0.00901969977154,-0.033150777564933155,-0.35189225994668877,0.0
(주)HJ중공업,97230,2011,18550.0,0.12851017809535178,-0.011619400057981889,-0.02827668278633332,-0.19809962568384687
(주)HJ중공업,97230,2012,12500.0,0.13619488745261457,-0.006536278227201955,-0.016883724633912037,-0.05421903052064636
(주)HJ중공업,97230,2013,12050.0,0.10277480897013322,-0.038474400449233837,-0.10166244883548718,0.047076689445709974
(주)HJ중공업,97230,2014,4445.0,0.06954254249117968,-0.049405713875928785,-0.1268364199061629,-0.07759245830311823
(주)HJ중공업,97230,2015,3900.0,0.010380011486757344,-0.0536365968021368,-0.10182755555897932,0.03459119496855356
(주)HJ중공업,97230,2016,3365.0,-0.08447256558781721,-0.06436456142380124,-0.12026214324890848,-0.06041033434650456
(주)HJ중공업,97230,2017,3310.0,-0.1689133052270747,-0.06568948487575045,-0.11268255207122742,0.008087343307723316
(주)HJ중공업,97230,2018,1655.0,-0.6121714064134737,-0.003075409164404709,-0.004951500969745015,-0.08904933814681104
(주)HJ중공업,97230,2019,4985.0,-0.5221267562186719,-0.008997976700069871,-0.01364665317166344,-0.11228533685601061
