회사명,거래소코드,회계년도,DOL,DFL
(주)CMG제약,58820,2011,1.0,1.0
(주)CMG제약,58820,2012,1.0,1.0
(주)CMG제약,58820,2013,1.0,1.0506750939459317
(주)CMG제약,58820,2014,1.0,1.0
(주)CMG제약,58820,2015,1.0,1.0
(주)CMG제약,58820,2016,1.0,0.9800728632237491
(주)CMG제약,58820,2017,2.59434185531089,1.0
(주)CMG제약,58820,2018,5.6819684419265055,1.0
(주)CMG제약,58820,2019,1.0,1.0
(주)DB하이텍,990,2011,6.28352043690718,1.0
(주)DB하이텍,990,2012,1.0,1.5227944147084052
(주)DB하이텍,990,2013,1.0,1.0
(주)DB하이텍,990,2014,1.0,1.0
(주)DB하이텍,990,2015,1.0,1.0
(주)DB하이텍,990,2016,1.0,1.0
(주)DB하이텍,990,2017,1.0,1.0
(주)DB하이텍,990,2018,13.772175327071933,1.0
(주)DB하이텍,990,2019,0.9936966436304449,1.0
(주)ES큐브,50120,2011,8.96398352834292,1.0
(주)ES큐브,50120,2012,1.0,1.0
(주)ES큐브,50120,2013,955.0258134404447,1.0
(주)ES큐브,50120,2014,3.9897331388818986,1.0
(주)ES큐브,50120,2015,1.0,1.0
(주)ES큐브,50120,2016,55.4097151720568,1.0
(주)ES큐브,50120,2017,1.0,1.0
(주)ES큐브,50120,2018,81.54855652324532,1.0
(주)ES큐브,50120,2019,4.240820624285633,1.0
(주)HJ중공업,97230,2011,1.0,1.0
(주)HJ중공업,97230,2012,3.810623842256636,1.0
(주)HJ중공업,97230,2013,1.0,1.0
(주)HJ중공업,97230,2014,1.0,1.0
(주)HJ중공업,97230,2015,1.0,1.0
(주)HJ중공업,97230,2016,1.0,1.0
(주)HJ중공업,97230,2017,1.3159291302727714,1.0
(주)HJ중공업,97230,2018,3.47552550810028,1.0
(주)HJ중공업,97230,2019,69.67490279838242,1.0
(주)MH에탄올,23150,2011,1.0,1.0
(주)MH에탄올,23150,2012,1.0,1.0
(주)MH에탄올,23150,2013,576.5454776341903,1.0
(주)MH에탄올,23150,2014,1.4123883677713285,1.0
(주)MH에탄올,23150,2015,20.304333737125187,1.0
(주)MH에탄올,23150,2016,1.0,1.0
(주)MH에탄올,23150,2017,1.0,1.0
(주)MH에탄올,23150,2018,1.0,1.0
(주)MH에탄올,23150,2019,1.0,1.0
(주)SH에너지화학,2360,2011,1.0,1.0
(주)SH에너지화학,2360,2012,1.0,1.0
(주)SH에너지화학,2360,2013,106.51658109042691,1.0
(주)SH에너지화학,2360,2014,1.0,1.0
(주)SH에너지화학,2360,2015,3.9502333836953274,1.0
(주)SH에너지화학,2360,2016,47.787570873223395,1.0
(주)SH에너지화학,2360,2017,3.2600973429867586,1.0
(주)SH에너지화학,2360,2018,33.08019898169397,1.0
