회사명,거래소코드,회계년도,재고자산(*)(IFRS),매입채무(IFRS),영업활동으로 인한 현금흐름(간접법)(*)(IFRS),매출액(수익)(*)(IFRS),이자비용(IFRS),유형자산(*)(IFRS),자본(*)(IFRS),당기순이익(손실)(IFRS),연구개발비(IFRS)
(주)SIMPAC,009160,2015/12,48860928,44285429,10489830,213152303,1006031,75847152,220087525,19448583,0
(주)SIMPAC,009160,2016/12,41542910,41037295,30470575,215839356,1023886,75130388,228959172,16444650,0
(주)SIMPAC,009160,2017/12,34297232,25003174,-13628628,203150228,915110,70402759,223781988,7133940,0
(주)SIMPAC,009160,2018/12,103871365,37013249,36290248,268863854,2222506,156312739,411119510,62381304,0
(주)SIMPAC,009160,2019/12,69944925,25346947,45146571,391970769,2947600,153003014,419215968,11507259,0
(주)SNT에너지,100840,2011/12,15421719,44474696,-17274075,195318747,716424,122586108,160595865,-4155767,871757
(주)SNT에너지,100840,2012/12,17407006,39641985,26635237,230707564,195405,122289502,183306309,9087721,785053
(주)SNT에너지,100840,2013/12,17793150,37857624,20128884,200750984,330740,120367341,198164671,16189688,793087
(주)SNT에너지,100840,2014/12,17747389,31040007,-24774316,242746888,335302,120065551,207712504,11264253,1049685
(주)SNT에너지,100840,2015/12,10693980,29685849,2204846,260094045,94454,118714558,231399939,27029932,908085
(주)SNT에너지,100840,2016/12,6779276,23920463,35017765,254089906,0,118148046,229799567,1659742,859808
(주)SNT에너지,100840,2017/12,2324389,16893340,-5579426,184091945,0,116825424,233817326,4581777,747653
(주)SNT에너지,100840,2018/12,5692284,13110417,14435813,139516396,0,115728393,231276490,1825479,683800
(주)SNT에너지,100840,2019/12,10124894,21255312,-40057737,202822913,5180,116275557,245545053,14578960,732767
(주)SNT홀딩스,036530,2011/12,0,0,9351556,2257851,0,150611,387839074,5766277,0
(주)SNT홀딩스,036530,2012/12,0,0,8670824,8718270,0,100263,388611726,9011145,0
(주)SNT홀딩스,036530,2013/12,0,0,7969284,8826810,0,54602,396851717,8018313,0
(주)SNT홀딩스,036530,2014/12,0,0,6847661,7701882,0,75419,398863036,6891599,0
(주)SNT홀딩스,036530,2015/12,0,0,7958287,8475099,0,55309,421925486,27765789,0
(주)SNT홀딩스,036530,2016/12,0,0,761622,9818190,0,35654,426682947,6923176,0
(주)SNT홀딩스,036530,2017/12,0,53817,6184231,7417869,0,19895,425136143,4172419,0
(주)SNT홀딩스,036530,2018/12,0,0,6691516,7292112,0,2888,422573122,6218079,0
(주)SNT홀딩스,036530,2019/12,0,0,10098608,11015928,0,59663,416939604,9244252,0
(주)STX,011810,2011/12,240418000,263754000,-108220000,4173397000,91958000,72801000,1164648000,84657000,0
(주)STX,011810,2012/12,108537000,211303000,159192000,4116767000,92496000,69598000,1123534000,-23863000,0
(주)STX,011810,2013/12,47749000,117155000,85353000,1895063000,83645000,62152000,-522090000,-1646014000,0
(주)STX,011810,2014/12,148535000,78622000,-78562000,1291351000,44568000,57120000,54894000,334488000,0
(주)STX,011810,2015/12,143454000,92719000,28936000,1362127000,39104000,53714000,72316000,-53449000,0
(주)STX,011810,2016/12,139765000,161565000,31638000,1465561000,35884000,30798000,-328883000,-456150000,0
(주)STX,011810,2017/12,103343000,113876000,93844000,1595494000,19326000,29631000,44710000,336179000,0
(주)STX,011810,2018/12,89120000,57955000,-51274000,1329890000,11938000,28464000,62213000,5024000,0
(주)STX,011810,2019/12,89664000,85456000,12558000,1237876000,13062000,43245000,50616000,-37142000,0
(주)TCC스틸,002710,2011/12,76580688,30601132,-8210627,456928069,6999989,75283350,205616971,6828699,0
(주)TCC스틸,002710,2012/12,75866000,31578824,10878979,440568155,8080856,71554979,209755733,4206491,0
(주)TCC스틸,002710,2013/12,62722660,26136889,21218485,419483813,8267162,71255687,210086242,391783,0
(주)TCC스틸,002710,2014/12,59114758,25941466,13870764,401323585,8269613,68743151,210093654,1022624,0
(주)TCC스틸,002710,2015/12,45683627,19400602,36353152,350074629,6899745,50635593,76555951,-140083396,0
(주)TCC스틸,002710,2016/12,44890754,22801657,-34206656,317235565,5640417,43730610,92623510,15468493,0
(주)TCC스틸,002710,2017/12,48077587,19063388,-7248002,333762378,4810271,45541678,89627045,-2328706,0
(주)TCC스틸,002710,2018/12,62280830,28341813,13968719,351301866,4712795,43204124,98351707,7565000,0
(주)TCC스틸,002710,2019/12,67392895,21237292,-251282,339334364,5398933,47129444,97501452,1996130,0
(주)가비아,079940,2011/12,14450,393317,6750777,33792831,361451,7163470,24298687,3262397,306874
(주)가비아,079940,2012/12,92459,2569817,9005290,38482449,471786,23749485,31165211,5737877,479876
(주)가비아,079940,2013/12,81039,1268027,6245989,40507693,405591,22732962,34822978,3786937,809715
(주)가비아,079940,2014/12,0,2370341,8696486,43906243,309276,22313113,38147677,3076978,160297
