회사명,거래소코드,회계년도,이익잉여금(결손금)(*)(IFRS)(천원),법인세비용차감전순이익(손실)(IFRS연결)(천원),자산(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원),합계_기말인원(명),PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),종가(원)
(주)SH에너지화학,002360,2011/12,2904750,2319760,104710740,39468414,173209351,109,14.66,8.42,0.73,0.42,316
(주)SH에너지화학,002360,2012/12,3663683,794584,103690070,38808867,193950102,112,162.25,31.83,2.74,0.54,991
(주)SH에너지화학,002360,2013/12,8556960,5333936,110488951,40889810,231912218,116,32.02,16.07,2.32,1.16,724
(주)SH에너지화학,002360,2014/12,22179370,21021932,110741407,26504210,230912587,140,15.13,5.05,3.07,1.02,1710
(주)SH에너지화학,002360,2015/12,29559725,17561153,115520726,23874505,216441364,146,22.07,10.6,3.3,1.59,1440
(주)SH에너지화학,002360,2016/12,41902622,23294276,124488724,20399837,218397677,148,13.72,7.21,2.52,1.32,1575
(주)SH에너지화학,002360,2017/12,44537560,12568384,125312154,17618682,188114822,148,22.84,16.66,2.03,1.48,1405
(주)SH에너지화학,002360,2018/12,42961164,2708676,122434685,17043794,183598766,156,74.92,32.62,2.06,0.9,1100
(주)SH에너지화학,002360,2019/12,36600969,-3303961,123415832,24415856,140852575,158,0,0,1.75,1.02,1020
(주)SIMPAC,009160,2010/12,93351504,28178981,269452191,124127159,181795010,230,10.14,5.1,1.14,0.57,4070
(주)SIMPAC,009160,2011/12,112026893,33983564,310879328,141938059,215365697,257,11.05,5.59,1.54,0.78,4930
(주)SIMPAC,009160,2012/12,131842396,24369484,318665505,130804553,225353321,275,10.55,5.98,1.37,0.77,7620
(주)SIMPAC,009160,2013/12,148336966,27807681,361985890,153154843,205751154,277,11.59,7.92,1.14,0.78,6960
(주)SIMPAC,009160,2014/12,156394288,16767926,381939281,162814028,263152264,305,21.72,14.17,1.11,0.72,5120
(주)SIMPAC,009160,2015/12,173681619,21963273,422833445,190825603,269528038,296,11.96,6.98,1.08,0.63,5600
(주)SIMPAC,009160,2016/12,186878127,21702147,417865468,177448939,267074156,306,10.51,7.61,0.77,0.56,4740
(주)SIMPAC,009160,2017/12,191361089,9576891,381158251,140332152,230634812,305,21.2,16.19,0.68,0.52,4130
(주)SIMPAC,009160,2018/12,250256858,71517279,681750819,246717950,306150809,500,2.44,0.93,0.38,0.14,2440
(주)SIMPAC,009160,2019/12,258117555,13075075,679145850,237950364,430085162,491,23.11,13.08,0.64,0.36,2945
