,회사명,회계년도,거래소코드,발행주식의 총수 (현재 발행한 주식수 - 현재 감소한 주식수)
124,(주)강스템바이오텍,2015/12,217730,13817150.0
125,(주)강스템바이오텍,2016/12,217730,14213650.0
126,(주)강스템바이오텍,2017/12,217730,16251712.0
127,(주)강스템바이오텍,2018/12,217730,20824937.0
128,(주)강스템바이오텍,2019/12,217730,24089371.0
129,(주)강원랜드,2010/12,35250,213940500.0
130,(주)강원랜드,2011/12,35250,213940500.0
131,(주)강원랜드,2012/12,35250,213940500.0
132,(주)강원랜드,2013/12,35250,213940500.0
133,(주)강원랜드,2014/12,35250,213940500.0
134,(주)강원랜드,2015/12,35250,213940500.0
135,(주)강원랜드,2016/12,35250,213940500.0
136,(주)강원랜드,2017/12,35250,213940500.0
137,(주)강원랜드,2018/12,35250,213940500.0
138,(주)강원랜드,2019/12,35250,213940500.0
139,(주)강원에너지,2010/11,114190,5300000.0
140,(주)강원에너지,2011/11,114190,5300000.0
141,(주)강원에너지,2012/12,114190,12666826.0
142,(주)강원에너지,2013/12,114190,12666826.0
143,(주)강원에너지,2014/12,114190,14390962.0
144,(주)강원에너지,2015/12,114190,15253030.0
145,(주)강원에너지,2016/12,114190,15253030.0
146,(주)강원에너지,2017/12,114190,15253030.0
147,(주)강원에너지,2018/12,114190,15366896.0
148,(주)강원에너지,2019/12,114190,17443674.0
149,(주)갤럭시아에스엠,2010/12,11420,19622424.0
150,(주)갤럭시아에스엠,2011/12,11420,19622424.0
151,(주)갤럭시아에스엠,2012/12,11420,19622424.0
152,(주)갤럭시아에스엠,2013/12,11420,19622424.0
153,(주)갤럭시아에스엠,2014/12,11420,19622424.0
154,(주)갤럭시아에스엠,2015/12,11420,27549644.0
155,(주)갤럭시아에스엠,2016/12,11420,27549644.0
156,(주)갤럭시아에스엠,2017/12,11420,27549644.0
157,(주)갤럭시아에스엠,2018/12,11420,27549644.0
158,(주)갤럭시아에스엠,2019/12,11420,27549644.0
159,(주)경농,2010/12,2100,21691750.0
160,(주)경농,2011/12,2100,21691750.0
161,(주)경농,2012/12,2100,21691750.0
162,(주)경농,2013/12,2100,21691750.0
163,(주)경농,2014/12,2100,21691750.0
164,(주)경농,2015/12,2100,21691750.0
165,(주)경농,2016/12,2100,21691750.0
166,(주)경농,2017/12,2100,21691750.0
167,(주)경농,2018/12,2100,21691750.0
168,(주)경농,2019/12,2100,21691750.0
169,(주)경동나비엔,2010/12,9450,2547902.0
170,(주)경동나비엔,2011/12,9450,12739510.0
171,(주)경동나비엔,2012/12,9450,12739510.0
172,(주)경동나비엔,2013/12,9450,12739510.0
173,(주)경동나비엔,2014/12,9450,12739510.0
174,(주)경동나비엔,2015/12,9450,12739510.0
175,(주)경동나비엔,2016/12,9450,12739510.0
176,(주)경동나비엔,2017/12,9450,12739510.0
177,(주)경동나비엔,2018/12,9450,12739510.0
178,(주)경동나비엔,2019/12,9450,12739510.0
179,(주)경동도시가스,2017/12,267290,4717063.0
180,(주)경동도시가스,2018/12,267290,4717063.0
181,(주)경동도시가스,2019/12,267290,5895406.0
182,(주)경동인베스트,2010/12,12320,3168000.0
183,(주)경동인베스트,2011/12,12320,3484800.0
184,(주)경동인베스트,2012/12,12320,3484800.0
185,(주)경동인베스트,2013/12,12320,3484800.0
186,(주)경동인베스트,2014/12,12320,3484800.0
187,(주)경동인베스트,2015/12,12320,3484800.0
188,(주)경동인베스트,2016/12,12320,3484800.0
189,(주)경동인베스트,2017/12,12320,2365023.0
190,(주)경동인베스트,2018/12,12320,2365023.0
191,(주)경동인베스트,2019/12,12320,2365023.0
192,(주)경방,2010/12,50,2080000.0
193,(주)경방,2011/12,50,2080000.0
194,(주)경방,2012/12,50,2080000.0
195,(주)경방,2013/12,50,2492298.0
196,(주)경방,2014/12,50,2741527.0
197,(주)경방,2015/12,50,2741527.0
198,(주)경방,2016/12,50,27415270.0
199,(주)경방,2017/12,50,27415270.0
200,(주)경방,2018/12,50,27415270.0
201,(주)경방,2019/12,50,27415270.0
202,(주)경보제약,2010/12,214390,
203,(주)경보제약,2011/12,214390,
204,(주)경보제약,2012/12,214390,
205,(주)경보제약,2013/12,214390,
206,(주)경보제약,2014/12,214390,
207,(주)경보제약,2015/12,214390,23906860.0
208,(주)경보제약,2016/12,214390,23906860.0
209,(주)경보제약,2017/12,214390,23906860.0
210,(주)경보제약,2018/12,214390,23906860.0
211,(주)경보제약,2019/12,214390,23906860.0
212,(주)경인양행,2010/12,12610,37500000.0
213,(주)경인양행,2011/12,12610,37500000.0
214,(주)경인양행,2012/12,12610,37500000.0
215,(주)경인양행,2013/12,12610,40396365.0
216,(주)경인양행,2014/12,12610,40396365.0
217,(주)경인양행,2015/12,12610,40396365.0
218,(주)경인양행,2016/12,12610,40396365.0
219,(주)경인양행,2017/12,12610,40396365.0
220,(주)경인양행,2018/12,12610,40396365.0
221,(주)경인양행,2019/12,12610,40786365.0
222,(주)고려시멘트,2014/12,198440,7000000.0
223,(주)고려시멘트,2015/12,198440,7000000.0
224,(주)고려시멘트,2016/12,198440,7000000.0
225,(주)고려시멘트,2017/12,198440,30479960.0
226,(주)고려시멘트,2018/12,198440,31979960.0
227,(주)고려시멘트,2019/12,198440,31979960.0
228,(주)고바이오랩,2019/12,348150,
229,(주)고영테크놀러지,2010/12,98460,8521924.0
230,(주)고영테크놀러지,2011/12,98460,8625888.0
231,(주)고영테크놀러지,2012/12,98460,8954134.0
232,(주)고영테크놀러지,2013/12,98460,8955634.0
233,(주)고영테크놀러지,2014/12,98460,13436451.0
234,(주)고영테크놀러지,2015/12,98460,13637951.0
235,(주)고영테크놀러지,2016/12,98460,13668951.0
236,(주)고영테크놀러지,2017/12,98460,13685951.0
237,(주)고영테크놀러지,2018/12,98460,13687951.0
238,(주)고영테크놀러지,2019/12,98460,13717951.0
239,(주)골드앤에스,2010/12,35290,51658079.0
240,(주)골드앤에스,2011/12,35290,51658079.0
241,(주)골드앤에스,2012/12,35290,71639364.0
242,(주)골드앤에스,2013/12,35290,71639364.0
243,(주)골드앤에스,2014/12,35290,12155384.0
244,(주)골드앤에스,2015/12,35290,19704041.0
245,(주)골드앤에스,2016/12,35290,20034620.0
246,(주)골드앤에스,2017/12,35290,22173875.0
247,(주)골드앤에스,2018/12,35290,22761247.0
248,(주)골드앤에스,2019/12,35290,2570137.0
249,(주)골드퍼시픽,2010/12,38530,22354839.0
250,(주)골드퍼시픽,2011/12,38530,22354839.0
251,(주)골드퍼시픽,2012/12,38530,23180526.0
252,(주)골드퍼시픽,2013/12,38530,25706927.0
253,(주)골드퍼시픽,2014/12,38530,35107470.0
254,(주)골드퍼시픽,2015/12,38530,53032282.0
255,(주)골드퍼시픽,2016/12,38530,58513516.0
256,(주)골드퍼시픽,2017/12,38530,6655713.0
257,(주)골드퍼시픽,2018/12,38530,17136344.0
258,(주)골드퍼시픽,2019/12,38530,33858959.0
259,(주)골프존,2015/12,215000,6275415.0
260,(주)골프존,2016/12,215000,6275415.0
261,(주)골프존,2017/12,215000,6275415.0
262,(주)골프존,2018/12,215000,6275415.0
263,(주)골프존,2019/12,215000,6275415.0
264,(주)골프존뉴딘홀딩스,2010/12,121440,
265,(주)골프존뉴딘홀딩스,2011/12,121440,12283023.0
266,(주)골프존뉴딘홀딩스,2012/12,121440,12283023.0
267,(주)골프존뉴딘홀딩스,2013/12,121440,36849069.0
268,(주)골프존뉴딘홀딩스,2014/12,121440,36849069.0
269,(주)골프존뉴딘홀딩스,2015/12,121440,42836818.0
270,(주)골프존뉴딘홀딩스,2016/12,121440,42836818.0
271,(주)골프존뉴딘홀딩스,2017/12,121440,42836818.0
272,(주)골프존뉴딘홀딩스,2018/12,121440,42836818.0
273,(주)골프존뉴딘홀딩스,2019/12,121440,42836818.0
274,(주)공구우먼,2017/12,366030,
275,(주)공구우먼,2018/12,366030,
276,(주)공구우먼,2019/12,366030,
277,(주)광림,2010/12,14200,15208965.0
278,(주)광림,2011/12,14200,15208965.0
279,(주)광림,2012/12,14200,19119243.0
280,(주)광림,2013/12,14200,19119243.0
281,(주)광림,2014/12,14200,19119243.0
282,(주)광림,2015/12,14200,19119243.0
283,(주)광림,2016/12,14200,48498486.0
284,(주)광림,2017/12,14200,48498486.0
285,(주)광림,2018/12,14200,49624189.0
286,(주)광림,2019/12,14200,52922234.0
287,(주)광명전기,2010/12,17040,37413445.0
288,(주)광명전기,2011/12,17040,43337615.0
289,(주)광명전기,2012/12,17040,43337615.0
290,(주)광명전기,2013/12,17040,43337615.0
291,(주)광명전기,2014/12,17040,43337615.0
292,(주)광명전기,2015/12,17040,43337615.0
293,(주)광명전기,2016/12,17040,43337615.0
294,(주)광명전기,2017/12,17040,43337615.0
295,(주)광명전기,2018/12,17040,43337615.0
296,(주)광명전기,2019/12,17040,43337615.0
297,(주)광무,2010/12,29480,82586538.0
298,(주)광무,2011/12,29480,125422055.0
299,(주)광무,2012/12,29480,12935700.0
300,(주)광무,2013/12,29480,18853386.0
301,(주)광무,2014/12,29480,18853386.0
302,(주)광무,2015/12,29480,22555655.0
303,(주)광무,2016/12,29480,22555655.0
304,(주)광무,2017/12,29480,31903723.0
305,(주)광무,2018/12,29480,32795285.0
306,(주)광무,2019/12,29480,60855285.0
307,(주)광주신세계,2010/12,37710,1600000.0
308,(주)광주신세계,2011/12,37710,1600000.0
309,(주)광주신세계,2012/12,37710,1600000.0
310,(주)광주신세계,2013/12,37710,1600000.0
311,(주)광주신세계,2014/12,37710,1600000.0
312,(주)광주신세계,2015/12,37710,1600000.0
313,(주)광주신세계,2016/12,37710,1600000.0
314,(주)광주신세계,2017/12,37710,1600000.0
315,(주)광주신세계,2018/12,37710,1600000.0
316,(주)광주신세계,2019/12,37710,1600000.0
317,(주)구영테크,2010/12,53270,12859875.0
318,(주)구영테크,2011/12,53270,12859875.0
319,(주)구영테크,2012/12,53270,12859875.0
320,(주)구영테크,2013/12,53270,12859875.0
321,(주)구영테크,2014/12,53270,19794174.0
322,(주)구영테크,2015/12,53270,19794174.0
323,(주)구영테크,2016/12,53270,19794174.0
324,(주)구영테크,2017/12,53270,19794174.0
325,(주)구영테크,2018/12,53270,26394174.0
326,(주)구영테크,2019/12,53270,26394174.0
327,(주)국동,2010/12,5320,20045774.0
328,(주)국동,2011/12,5320,4009154.0
329,(주)국동,2012/12,5320,4009154.0
330,(주)국동,2013/12,5320,4566254.0
331,(주)국동,2014/12,5320,4696124.0
332,(주)국동,2015/12,5320,4696124.0
333,(주)국동,2016/12,5320,5914052.0
334,(주)국동,2017/12,5320,13032774.0
335,(주)국동,2018/12,5320,13740480.0
336,(주)국동,2019/12,5320,27596156.0
337,(주)국보,2010/12,1140,1027304.0
338,(주)국보,2011/12,1140,1027304.0
339,(주)국보,2012/12,1140,1027304.0
340,(주)국보,2013/12,1140,1027304.0
341,(주)국보,2014/12,1140,1027304.0
342,(주)국보,2015/12,1140,1027304.0
343,(주)국보,2016/12,1140,1027304.0
344,(주)국보,2017/12,1140,1682304.0
