회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름,금융비용부담률,고정비율,R&D비율,채무부담비율
(주)CMG제약,58820,2011,-2560438.0,1.0218962641558242,53.829571722116064,0.1335252097488782,54.00748714138697
(주)CMG제약,58820,2012,-1572581.0,3.3396924552220804,29.462741944342135,0.7385366169951393,90.38005232859543
(주)CMG제약,58820,2013,-3939013.0,5.558750209536843,22.05243184820807,0.6590191028980293,84.69560167994669
(주)CMG제약,58820,2014,724893.0,0.5398947214083464,38.43420163205887,0.5121747929817554,96.05953711941314
(주)CMG제약,58820,2015,2410205.0,0.2952086122369979,38.07659248784068,3.0763747539281088,88.79098367792314
(주)CMG제약,58820,2016,3321352.0,0.0,16.720610664071017,1.2057055201233249,88.97439939841307
(주)CMG제약,58820,2017,1948086.0,0.0,16.522211529833182,4.323740403049067,88.58590745191547
(주)CMG제약,58820,2018,886779.0,0.0,16.60725950181727,1.5598122939753352,48.55855563702978
(주)CMG제약,58820,2019,2823387.0,0.014658149121497873,13.38789568726074,3.4004108409849083,47.83367276561778
(주)DB하이텍,990,2011,60749180.0,10.421143803909644,246.3475487416014,10.969027178836436,30.081095759849457
(주)DB하이텍,990,2012,73876619.0,8.496596320259782,235.61524570509667,0.0,22.382527895448828
(주)DB하이텍,990,2013,28380938.0,12.059771428422366,310.6321878095075,8.994190905885253,41.059267340223236
(주)DB하이텍,990,2014,48078139.0,11.916273450471444,490.28490191448356,7.3573470489825255,52.37865098581346
(주)DB하이텍,990,2015,152722221.0,7.506807128149015,209.85027361385696,7.4116969019450485,53.045613655704514
(주)DB하이텍,990,2016,248312191.0,5.059052033746325,160.18519974631877,6.950615346365778,57.89456745816983
(주)DB하이텍,990,2017,183124083.0,3.4840553153099583,121.88884128933746,8.007205790826292,45.16625479262623
(주)DB하이텍,990,2018,180343534.0,2.495443993640346,107.01639581277962,7.89057915589946,85.02647683235494
(주)DB하이텍,990,2019,161078351.0,1.670800050100046,95.64462914670088,6.8485106848018615,59.117514172706386
(주)ES큐브,50120,2011,1107724.0,0.027798826046153056,10.99182766678651,4.648861430223842,50.9536571367151
(주)ES큐브,50120,2012,5224759.0,0.09280853222464781,7.981995641159295,2.421654857278519,31.810889132295365
(주)ES큐브,50120,2013,2590980.0,0.053084301868133614,5.1389488072907765,4.024230715782576,14.911740518977368
(주)ES큐브,50120,2014,2889415.0,0.017334846228082988,4.632849972004767,1.976784261642052,20.02045968211558
(주)ES큐브,50120,2015,-2778236.0,0.8118906552888673,3.9636278392716386,2.5155714424562334,17.013785235376215
(주)ES큐브,50120,2016,1240854.0,0.702088999263183,9.852389226853859,0.40955823500479815,13.828487845564167
(주)ES큐브,50120,2017,2310978.0,2.1960877411199764,15.962903107081763,0.0,14.770929855018288
(주)ES큐브,50120,2018,-1347532.0,4.394184988123865,21.487463350338473,1.339306922728527,9.824508906092632
(주)ES큐브,50120,2019,75624795.0,8.750007063885597,23.411303836036033,0.0,13.106796624281907
(주)HJ중공업,97230,2011,-401788000.0,6.834448153016827,168.43122739505304,0.09182088598336019,59.46492356843343
(주)HJ중공업,97230,2012,-84391000.0,7.579671276917482,169.131619874137,0.08971023241893228,110.7967061199505
(주)HJ중공업,97230,2013,-321347000.0,6.933584676799214,171.3391962650351,0.1332758216468242,37.939217090602725
(주)HJ중공업,97230,2014,-238336000.0,6.541854721117316,171.8646142970842,0.17835001438306566,44.64715649963634
(주)HJ중공업,97230,2015,257547000.0,5.0855841151568315,199.8746884565052,0.12877659347392836,40.3804214751401
(주)HJ중공업,97230,2016,-36763000.0,4.825841520422312,268.5542509185273,0.09579596135601583,43.22862886678884
(주)HJ중공업,97230,2017,385461000.0,4.398090945939223,310.52117297703734,0.07560206400974753,39.38985219855877
(주)HJ중공업,97230,2018,420195000.0,5.8905015640193685,-90.19734928394519,0.13010426599460853,38.08643330675388
(주)HJ중공업,97230,2019,155934000.0,7.449327736406608,251.07431202396793,0.10646194538023307,45.87680304817201
(주)MH에탄올,23150,2011,178820.0,11.465909945747876,176.40168927342035,0.0,0.1100893832929782
(주)MH에탄올,23150,2012,-4906202.0,8.441788627476077,181.06110704101206,0.0,0.07391464905006645
(주)MH에탄올,23150,2013,6114050.0,5.545407180562885,153.44866397185882,0.0,0.029808839802633765
(주)MH에탄올,23150,2014,5159224.0,3.175943073892152,68.35402839483714,0.0,0.0
(주)MH에탄올,23150,2015,13384066.0,1.7341929892990746,63.65539547332201,0.0,0.0
(주)MH에탄올,23150,2016,12245831.0,0.8256964508576954,58.807324092619275,0.0,0.0
(주)MH에탄올,23150,2017,3336890.0,4.515533869779502,364.356124390363,0.0,8.159274073487687
(주)MH에탄올,23150,2018,-11269669.0,17.632702561682663,426.47489738902146,0.0,9.590769446313
(주)MH에탄올,23150,2019,11368931.0,13.286092263213517,507.15235548084274,0.0,6.467075875993154
(주)SH에너지화학,2360,2011,5825197.0,0.8532264519598598,50.918512623231734,0.024608371172754984,8.59494716767126
(주)SH에너지화학,2360,2012,-855725.0,0.6550411610507944,50.53068529772305,0.02966587766991739,15.590868823054576
(주)SH에너지화학,2360,2013,5949724.0,0.5223127140287193,46.071110274191454,0.027901505387698033,21.76101497743067
(주)SH에너지화학,2360,2014,24749424.0,0.34527091414033656,36.95837956241588,0.05100761354338817,15.996744032236757
(주)SH에너지화학,2360,2015,24630676.0,0.12493637768795432,35.63780987761623,0.0,9.275662880196458
(주)SH에너지화학,2360,2016,11685757.0,0.052317864168491136,30.547159179442467,0.0,13.002892031820213
