회사명,거래소코드,회계년도,이익잉여금(결손금)(*)(IFRS)(천원),법인세비용차감전순이익(손실)(IFRS)(천원),자산(*)(IFRS)(천원),부채(*)(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),합계_기말인원(명),PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),종가(원)
(주)SH에너지화학,002360,2011/12,2904750,3683229,102383199,37884515,172752632,109,14.66,8.42,0.73,0.42,316
(주)SH에너지화학,002360,2012/12,3663683,1663467,102492810,37604198,191907628,112,162.25,31.83,2.74,0.54,991
(주)SH에너지화학,002360,2013/12,8556960,5568881,109984767,40202877,229783541,116,32.02,16.07,2.32,1.16,724
(주)SH에너지화학,002360,2014/12,22179370,19858796,109098264,25693965,226971465,140,15.13,5.05,3.07,1.02,1710
(주)SH에너지화학,002360,2015/12,29559725,17658992,114048206,23308070,213882181,146,22.07,10.6,3.3,1.59,1440
(주)SH에너지화학,002360,2016/12,41902622,22810994,122956894,19873862,214380015,148,13.72,7.21,2.52,1.32,1575
(주)SH에너지화학,002360,2017/12,44537560,11580832,123261552,17543581,184672638,148,22.84,16.66,2.03,1.48,1405
(주)SH에너지화학,002360,2018/12,42961164,3422207,120895795,16830322,180753289,156,74.92,32.62,2.06,0.9,1100
(주)SH에너지화학,002360,2019/12,36600969,-3369601,121126250,23740037,138161816,158,0,0,1.75,1.02,1020
(주)SIMPAC,009160,2010/12,93351504,21446079,260176045,124056799,180593108,230,10.14,5.1,1.14,0.57,4070
(주)SIMPAC,009160,2011/12,112026893,29402869,296953131,141119807,213867522,257,11.05,5.59,1.54,0.78,4930
(주)SIMPAC,009160,2012/12,131842396,27333808,307366684,129536202,223854758,275,10.55,5.98,1.37,0.77,7620
(주)SIMPAC,009160,2013/12,148336966,26700329,349836891,151936024,204527751,277,11.59,7.92,1.14,0.78,6960
(주)SIMPAC,009160,2014/12,156394288,13208150,329325876,125420957,227491803,305,21.72,14.17,1.11,0.72,5120
(주)SIMPAC,009160,2015/12,173681619,25122579,369348917,149261391,213152303,296,11.96,6.98,1.08,0.63,5600
(주)SIMPAC,009160,2016/12,186878127,21457251,366245273,137286101,215839356,306,10.51,7.61,0.77,0.56,4740
(주)SIMPAC,009160,2017/12,191361089,11557991,343005145,119223157,203150228,305,21.2,16.19,0.68,0.52,4130
(주)SIMPAC,009160,2018/12,250256858,64536833,628334175,217214665,268863854,500,2.44,0.93,0.38,0.14,2440
(주)SIMPAC,009160,2019/12,258117555,14937221,608693104,189477136,391970769,491,23.11,13.08,0.64,0.36,2945
(주)SNT에너지,100840,2010/12,132795382,3950219,253914889,86524097,213919312,180,90.41,36.08,1.81,0.72,18050
(주)SNT에너지,100840,2011/12,126000455,-5366314,276511841,115915976,195318747,184,0,0,0.99,0.54,17600
(주)SNT에너지,100840,2012/12,135114177,11627625,292802033,109495724,230707564,195,19.06,11.03,0.97,0.56,16400
(주)SNT에너지,100840,2013/12,149995023,20782425,311675279,113510608,200750984,209,9.04,6.39,0.76,0.54,16700
(주)SNT에너지,100840,2014/12,159222612,14794969,304511816,96799312,242746888,218,11.57,9.28,0.65,0.52,15350
(주)SNT에너지,100840,2015/12,182612325,35733652,316196096,84796156,260094045,232,8.58,3.96,1.03,0.48,29750
(주)SNT에너지,100840,2016/12,180875022,2994125,348042346,118242778,254089906,218,126.99,71.71,0.93,0.52,19200
(주)SNT에너지,100840,2017/12,185408107,6036853,300266693,66449368,184091945,195,32.32,20.87,0.64,0.41,16100
(주)SNT에너지,100840,2018/12,187259504,2388637,280991534,49715044,139516396,190,68.56,41.57,0.55,0.33,11050
(주)SNT에너지,100840,2019/12,201775635,19171783,331391237,85846184,202822913,191,10.43,5.41,0.64,0.33,19800
(주)SNT홀딩스,036530,2010/12,287407791,5373180,397213393,624840,2068556,9,59.67,35.93,0.73,0.44,14950
(주)SNT홀딩스,036530,2011/12,281286745,4739756,388123974,284900,2257851,9,42.06,25.88,0.64,0.39,12600
(주)SNT홀딩스,036530,2012/12,284420661,9954548,388964716,352990,8718270,9,23.68,14.51,0.56,0.34,9730
(주)SNT홀딩스,036530,2013/12,286628138,8572060,397336142,484426,8826810,8,37.69,17.76,0.77,0.36,16250
(주)SNT홀딩스,036530,2014/12,289259275,7335965,399244416,381380,7701882,8,47.42,31.29,0.83,0.55,19600
(주)SNT홀딩스,036530,2015/12,313824046,36487886,430584006,8658519,8475099,8,17.69,10.55,1.18,0.7,29350
(주)SNT홀딩스,036530,2016/12,316683626,6520788,427001710,318763,9818190,8,70.43,32.7,1.16,0.54,15850
(주)SNT홀딩스,036530,2017/12,315328592,4102985,425435423,299279,7417869,7,69.81,54.44,0.69,0.54,15750
(주)SNT홀딩스,036530,2018/12,319207431,7053790,422804813,231691,7292112,10,41.82,28.32,0.62,0.42,13000
(주)SNT홀딩스,036530,2019/12,322144300,9569633,417172874,233270,11015928,10,29.1,20.64,0.66,0.47,15450
(주)STX,011810,2010/12,392610000,16027000,2822864000,1888189000,3191730000,643,196.52,84.34,1.93,0.83,28500
(주)STX,011810,2011/12,464921000,84026000,3302248000,2137600000,4173397000,392,26.13,8,1.94,0.59,11550
(주)STX,011810,2012/12,421859000,-45763000,3226878000,2103344000,4116767000,375,0,0,0.94,0.41,8400
(주)STX,011810,2013/12,-1231455000,-1625720000,1086567000,1608657000,1895063000,177,0,0,0,0,2580
(주)STX,011810,2014/12,-896967000,335500000,1070433000,1015539000,1291351000,124,4.25,0.25,28.64,1.7,375
(주)STX,011810,2015/12,-28460000,-53325000,1057543000,985227000,1362127000,127,0,0,3.09,0.17,3435
(주)STX,011810,2016/12,-457165000,-456269000,627686000,956569000,1465561000,120,0,0,0,0,1660
(주)STX,011810,2017/12,-120813000,336179000,520393000,475683000,1595494000,119,11.28,0.79,89.15,6.26,23850
(주)STX,011810,2018/12,6707000,5024000,446758000,384545000,1329890000,110,142.82,40.18,11.95,3.36,11750
(주)STX,011810,2019/12,-31193000,-37142000,462734000,412118000,1237876000,116,0,0,7.88,2.79,8010
(주)TCC스틸,002710,2010/12,186086834,18440073,366375812,163202323,412110088,324,6.65,4.23,0.46,0.29,5000
(주)TCC스틸,002710,2011/12,188746371,8515339,407743559,202126588,456928069,315,19.99,9.84,0.69,0.34,5140
(주)TCC스틸,002710,2012/12,189369296,5250906,438642951,228887219,440568155,319,23.68,17.1,0.49,0.35,4615
(주)TCC스틸,002710,2013/12,187140480,1001193,444204925,234118683,419483813,311,214.56,149.32,0.41,0.28,3480
(주)TCC스틸,002710,2014/12,184913031,3227516,461297588,251203934,401323585,306,73.48,47.94,0.37,0.24,2650
(주)TCC스틸,002710,2015/12,41723834,-149783727,330651742,254095791,350074629,281,0,0,0.98,0.49,2180
(주)TCC스틸,002710,2016/12,57295473,20665353,250878191,158254682,317235565,277,4.91,2.67,0.85,0.46,2465
(주)TCC스틸,002710,2017/12,53415886,420144,248896237,159269192,333762378,283,0,0,0.71,0.47,1890
(주)TCC스틸,002710,2018/12,60236208,11104322,268135677,169783970,351301866,277,7.99,4.81,0.64,0.39,2000
(주)TCC스틸,002710,2019/12,58623676,6372991,270265082,172763630,339334364,275,34.42,21.21,0.73,0.45,2720
(주)가비아,079940,2010/12,17142025,3657058,34383172,12848144,26065926,155,13.14,7.2,2.06,1.13,3050
(주)가비아,079940,2011/12,20037362,3817596,37295822,12997135,33792831,191,16.26,7.89,2.37,1.15,3950
(주)가비아,079940,2012/12,25408181,6624076,51795749,20630538,38482449,211,18.71,8.33,3.63,1.62,4035
(주)가비아,079940,2013/12,28938410,4263316,52151784,17328806,40507693,228,23.59,13.38,2.7,1.53,4790
(주)가비아,079940,2014/12,31456150,3202507,55984243,17836566,43906243,247,34.59,21,2.92,1.77,6420
(주)가비아,079940,2015/12,35483865,4747921,57657418,15187159,48446932,262,24.11,14.88,2.54,1.57,7130
(주)가비아,079940,2016/12,38636839,3683235,61160981,15747269,49430564,268,32.08,20.7,2.62,1.69,5840
(주)가비아,079940,2017/12,40739522,2472446,64986436,17323452,52365659,275,38.48,27.19,2.1,1.48,5870
(주)가비아,079940,2018/12,43111194,3060432,69315988,19483076,55197652,280,48.8,27.68,2.82,1.6,6360
(주)가비아,079940,2019/12,47374904,4905680,82964911,28880845,58254105,277,31.26,17.97,2.74,1.57,8280
