회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS)(천원),자산(*)(IFRS)(천원),당기순이익(손실)(IFRS)(천원),계속영업이익(손실)(IFRS)(천원),유동자산(*)(IFRS)(천원),유형자산(*)(IFRS)(천원)
(주)SNT에너지,100840,2011/12,195318747,276511841,-4155767,-4155767,145463387,122586108
(주)SNT에너지,100840,2012/12,230707564,292802033,9087721,9087721,161463967,122289502
(주)SNT에너지,100840,2013/12,200750984,311675279,16189688,16189688,181309369,120367341
(주)SNT에너지,100840,2014/12,242746888,304511816,11264253,11264253,170494610,120065551
(주)SNT에너지,100840,2015/12,260094045,316196096,27029932,27029932,184059424,118714558
(주)SNT에너지,100840,2016/12,254089906,348042346,1659742,1659742,211766053,118148046
(주)SNT에너지,100840,2017/12,184091945,300266693,4581777,4581777,172919603,116825424
(주)SNT에너지,100840,2018/12,139516396,280991534,1825479,1825479,155524318,115728393
(주)SNT에너지,100840,2019/12,202822913,331391237,14578960,14578960,202225767,116275557
(주)SNT홀딩스,036530,2010/12,2068556,397213393,4776920,4776920,32475873,188960
(주)SNT홀딩스,036530,2011/12,2257851,388123974,5766277,5766277,64671576,150611
(주)SNT홀딩스,036530,2012/12,8718270,388964716,9011145,9011145,40740917,100263
(주)SNT홀딩스,036530,2013/12,8826810,397336142,8018313,8018313,49212139,54602
(주)SNT홀딩스,036530,2014/12,7701882,399244416,6891599,6891599,47079948,75419
(주)SNT홀딩스,036530,2015/12,8475099,430584006,27765789,27765789,100040105,55309
(주)SNT홀딩스,036530,2016/12,9818190,427001710,6923176,6923176,97449826,35654
(주)SNT홀딩스,036530,2017/12,7417869,425435423,4172419,4172419,98229088,19895
(주)SNT홀딩스,036530,2018/12,7292112,422804813,6218079,6218079,89557460,2888
(주)SNT홀딩스,036530,2019/12,11015928,417172874,9244252,9244252,31735933,59663
(주)STX,011810,2010/12,3191730000,2822864000,8971000,8971000,931342000,20850000
(주)STX,011810,2011/12,4173397000,3302248000,84657000,84657000,993206000,72801000
(주)STX,011810,2012/12,4116767000,3226878000,-23863000,-23863000,856988000,69598000
(주)STX,011810,2013/12,1895063000,1086567000,-1646014000,-1646014000,640293000,62152000
(주)STX,011810,2014/12,1291351000,1070433000,334488000,334488000,728283000,57120000
(주)STX,011810,2015/12,1362127000,1057543000,-53449000,-53449000,663016000,53714000
(주)STX,011810,2016/12,1465561000,627686000,-456150000,-456150000,441306000,30798000
(주)STX,011810,2017/12,1595494000,520393000,336179000,336179000,349891000,29631000
(주)STX,011810,2018/12,1329890000,446758000,5024000,5024000,297842000,28464000
(주)STX,011810,2019/12,1237876000,462734000,-37142000,-37142000,292473000,43245000
(주)TCC스틸,002710,2010/12,412110088,366375812,13684096,13684096,151787074,72589599
(주)TCC스틸,002710,2011/12,456928069,407743559,6828699,6828699,163515113,75283350
(주)TCC스틸,002710,2012/12,440568155,438642951,4206491,4206491,168674581,71554979
(주)TCC스틸,002710,2013/12,419483813,444204925,391783,391783,150092488,71255687
(주)TCC스틸,002710,2014/12,401323585,461297588,1022624,1022624,141191905,68743151
(주)TCC스틸,002710,2015/12,350074629,330651742,-140083396,-140886936,202116240,50635593
(주)TCC스틸,002710,2016/12,317235565,250878191,15468493,15029397,97007914,43730610
(주)TCC스틸,002710,2017/12,333762378,248896237,-2328706,-2328706,101914014,45541678
(주)TCC스틸,002710,2018/12,351301866,268135677,7565000,7565000,128625665,43204124
(주)TCC스틸,002710,2019/12,339334364,270265082,1996130,1996130,121879909,47129444
(주)가비아,079940,2010/12,26065926,34383172,3095686,3095686,9998798,5447766
(주)가비아,079940,2011/12,33792831,37295822,3262397,3262397,9245779,7163470
(주)가비아,079940,2012/12,38482449,51795749,5737877,5737877,9613034,23749485
(주)가비아,079940,2013/12,40507693,52151784,3786937,3786937,10360239,22732962
(주)가비아,079940,2014/12,43906243,55984243,3076978,3076978,14916105,22313113
(주)가비아,079940,2015/12,48446932,57657418,4288423,4288423,17436488,22210592
(주)가비아,079940,2016/12,49430564,61160981,3544032,3544032,12237594,22429866
(주)가비아,079940,2017/12,52365659,64986436,2493743,2493743,15116578,22362004
(주)가비아,079940,2018/12,55197652,69315988,2762732,2762732,18388749,24425180
(주)가비아,079940,2019/12,58254105,82964911,4654769,4654769,13602872,39724951
(주)가온칩스,399720,2018/12,,,,,,
(주)가온칩스,399720,2019/12,,,,,,
(주)강스템바이오텍,217730,2013/12,,,,,,
(주)강스템바이오텍,217730,2014/12,,,,,,
(주)강스템바이오텍,217730,2015/12,1484593,24982626,-5754141,-5754141,18896590,2980005
(주)강스템바이오텍,217730,2016/12,842805,47441769,-8300375,-8300375,37966496,4039297
(주)강스템바이오텍,217730,2017/12,5394323,44508729,-10855842,-10855842,24316617,12480829
(주)강스템바이오텍,217730,2018/12,1001039,66184838,-13500909,-13316212,44071609,14220013
(주)강스템바이오텍,217730,2019/12,282069,98625925,-25001590,-25001590,50136013,22738650
(주)강원랜드,035250,2010/12,1313380414,2615956414,434447189,434447189,1015628491,1232921723
(주)강원랜드,035250,2011/12,1263651213,2730283806,393401121,393401121,1116717650,1302068954
(주)강원랜드,035250,2012/12,1292896121,2915385756,296503993,296503993,1117338850,1334113267
(주)강원랜드,035250,2013/12,1356906162,3105430200,293129468,293129468,1032979185,1327018456
(주)강원랜드,035250,2014/12,1492291312,3380461682,363815729,363815729,1349601870,1284798892
(주)강원랜드,035250,2015/12,1630976696,3688060027,430459518,430459518,1736167993,1253601276
(주)강원랜드,035250,2016/12,1694575212,3975979890,454998593,454998593,1799026863,1254129261
(주)강원랜드,035250,2017/12,1602901764,4182527382,437096330,437096330,2155754572,1253403658
(주)강원랜드,035250,2018/12,1436042435,4229630541,297320114,297320114,1749493012,1299058388
(주)강원랜드,035250,2019/12,1517612252,4436461953,335609508,335609508,1868365557,1353732478
(주)강원에너지,114190,2010/11,30619298,28677832,1716786,1716786,23635050,3166574
(주)강원에너지,114190,2011/11,50222892,53719067,5754715,5754715,47950975,3912294
(주)강원에너지,114190,2012/12,106471214,89258208,8974549,8974549,80491240,4416402
(주)강원에너지,114190,2013/12,50660659,72441333,3922208,3922208,61556228,4787448
(주)강원에너지,114190,2014/12,51481321,67037639,1123194,1123194,48800730,10004091
(주)강원에너지,114190,2015/12,48852892,80939019,885783,885783,58744703,9712091
(주)강원에너지,114190,2016/12,44448760,70850137,-762058,-762058,49882033,9490734
(주)강원에너지,114190,2017/12,83113029,87781416,-6291307,-6291307,66557788,9242859
(주)강원에너지,114190,2018/12,85905365,89619750,1977524,1977524,70097814,8853092
(주)강원에너지,114190,2019/12,42549622,55106032,-33460765,-33460765,30346449,9089689
(주)갤럭시아에스엠,011420,2010/12,42704968,35800250,1313876,1313876,12829287,419644
(주)갤럭시아에스엠,011420,2011/12,31931418,40711969,3000743,3000743,17322791,263856
(주)갤럭시아에스엠,011420,2012/12,37398255,40169876,223810,223810,21665386,244196
(주)갤럭시아에스엠,011420,2013/12,30903637,34158874,-1420345,-1420345,15680160,258052
(주)갤럭시아에스엠,011420,2014/12,33027933,40528250,-931106,-931106,21910144,170073
(주)갤럭시아에스엠,011420,2015/12,53784932,67196553,2575902,2575902,40480215,428742
(주)갤럭시아에스엠,011420,2016/12,45665676,55825556,-1562620,-1562620,33508731,468225
(주)갤럭시아에스엠,011420,2017/12,36917656,48958128,-5899738,-5899738,25522603,348574
(주)갤럭시아에스엠,011420,2018/12,22030258,33337692,-15678085,-15678085,14317048,251603
(주)갤럭시아에스엠,011420,2019/12,28732679,28241598,-1375316,-1375316,13644588,511985
(주)경농,002100,2010/12,143042882,198795934,9486115,9486115,112549061,48557170
(주)경농,002100,2011/12,120728258,176741869,3154155,3154155,85897543,47135730
(주)경농,002100,2012/12,131021366,203467698,6590012,6590012,88973571,51459712
(주)경농,002100,2013/12,139237273,214988593,13751960,13751960,90491612,55088070
(주)경농,002100,2014/12,134806677,230870852,9271741,9271741,92163573,60743502
(주)경농,002100,2015/12,137609256,265109291,6488880,6488880,110823037,60862714
(주)경농,002100,2016/12,143209666,266622289,5770891,5770891,113338004,60986166
(주)경농,002100,2017/12,143175105,268967010,11539079,11539079,114661596,61075339
(주)경농,002100,2018/12,146216658,285031873,9613575,9613575,124295854,67819776
(주)경농,002100,2019/12,151342037,297197088,7061857,7061857,138697201,64128521
(주)경동나비엔,009450,2010/12,278277379,201855827,5953556,5953556,98271196,65607490
(주)경동나비엔,009450,2011/12,318269213,224373470,9445090,9445090,109967953,71463183
(주)경동나비엔,009450,2012/12,341339118,254627468,9214927,9214927,123218302,86003940
(주)경동나비엔,009450,2013/12,371601179,301475800,9251575,9251575,104914630,148703601
(주)경동나비엔,009450,2014/12,382392117,331089242,9082312,9082312,134136648,133081097
(주)경동나비엔,009450,2015/12,448302084,324848990,19320742,19320742,129837058,134166342
(주)경동나비엔,009450,2016/12,506082201,347643876,28636194,28636194,145915928,138398427
(주)경동나비엔,009450,2017/12,569819524,391400492,16291264,16291264,175839342,143721378
(주)경동나비엔,009450,2018/12,618058456,440513661,22818064,22818064,209454208,157575992
(주)경동나비엔,009450,2019/12,655419303,461607017,20474157,20474157,214093729,165763623
(주)경동도시가스,267290,2017/12,870828897,707917077,17678888,17678888,374489353,316263778
(주)경동도시가스,267290,2018/12,1605687067,775880913,33981432,33981432,441723742,320275132
(주)경동도시가스,267290,2019/12,1421866212,747453908,24355132,24355132,392458231,325567581
(주)경동인베스트,012320,2010/12,1289139847,756282260,41515269,41515269,412481039,249828685
(주)경동인베스트,012320,2011/12,1806174764,941176098,50053289,50053289,563584969,265516704
