회사명,거래소코드,회계년도,재고자산(*)(IFRS연결),매입채무(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결),매출액(수익)(*)(IFRS연결),이자비용(IFRS연결),유형자산(*)(IFRS연결),자본(*)(IFRS연결),당기순이익(손실)(IFRS연결),연구개발비(IFRS연결)
(주)SIMPAC,009160,2014/12,40715808,46030344,34443800,263152264,2046202,169381419,219125252,14312319,0
(주)SIMPAC,009160,2015/12,56208760,53845716,10256628,269528038,1449136,180973199,232007841,16449973,0
(주)SIMPAC,009160,2016/12,45959349,46855264,35245662,267074156,1407278,178694040,240416530,16183843,0
(주)SIMPAC,009160,2017/12,39255148,29467361,-9543549,230634812,1158468,172659787,240826100,12895699,0
(주)SIMPAC,009160,2018/12,110042965,43116640,37360242,306150809,2502486,357331367,435032869,69198558,0
(주)SIMPAC,009160,2019/12,88166502,32704191,37470315,430085162,3213238,263608239,441195485,9487516,0
(주)SNT에너지,100840,2011/12,,,,,,,,,
(주)SNT에너지,100840,2012/12,,,,,,,,,
(주)SNT에너지,100840,2013/12,,,,,,,,,
(주)SNT에너지,100840,2014/12,,,,,,,,,
(주)SNT에너지,100840,2015/12,,,,,,,,,
(주)SNT에너지,100840,2016/12,,,,,,,,,
(주)SNT에너지,100840,2017/12,,,,,,,,,
(주)SNT에너지,100840,2018/12,,,,,,,,,
(주)SNT에너지,100840,2019/12,10208805,23420417,-40064824,213326726,9865,123257799,244954910,15452273,732767
(주)SNT홀딩스,036530,2011/12,274834022,371854324,86981830,1663846065,7143963,989038851,1311007481,87196578,21515146
(주)SNT홀딩스,036530,2012/12,280540811,318705541,57310654,1668749904,4226517,984180010,1318022867,63253909,19570131
(주)SNT홀딩스,036530,2013/12,311174402,317382506,94174241,1576368464,2791257,986231198,1374365240,53763061,19877446
(주)SNT홀딩스,036530,2014/12,283952471,257490442,95278602,1552374806,1905308,933346465,1356040938,66985248,17983091
(주)SNT홀딩스,036530,2015/12,268780766,216310412,120263344,1612746929,739116,928315887,1529249091,116419931,20645176
(주)SNT홀딩스,036530,2016/12,236908975,235495857,143865685,1537700275,252333,908800105,1530892611,10146568,18481535
(주)SNT홀딩스,036530,2017/12,215870141,244821803,104208804,1508152132,339401,880843802,1519293154,25863066,19561190
(주)SNT홀딩스,036530,2018/12,220256725,225133544,128942884,1401307482,1214990,869282994,1503275496,73732317,17000641
(주)SNT홀딩스,036530,2019/12,229809615,199204201,89185851,1512114565,686117,871104106,1625933047,124509305,14916609
(주)STX,011810,2011/12,315306000,357994000,55801000,5967701000,140928000,818420000,1915942000,222363000,0
(주)STX,011810,2012/12,182590000,335789000,250636000,6159850000,131782000,1044547000,1506639000,-490928000,0
(주)STX,011810,2013/12,94076000,199238000,130779000,2449401000,89818000,215510000,-509663000,-1595630000,0
(주)STX,011810,2014/12,207648000,128067000,-76097000,1634606000,46824000,108080000,93662000,380584000,0
(주)STX,011810,2015/12,316312000,168094000,-15950000,1630827000,40644000,101700000,72342000,-48982000,0
(주)STX,011810,2016/12,226131000,93777000,57833000,1720153000,37511000,73715000,-330596000,-457446000,0
(주)STX,011810,2017/12,181620000,116542000,100295000,1803878000,21843000,70760000,42560000,334386000,0
(주)STX,011810,2018/12,129417000,76685000,-48114000,1502985000,13206000,74249000,64028000,9107000,0
(주)STX,011810,2019/12,118778000,102262000,528000,1471164000,15626000,90288000,56291000,-33218000,0
(주)TCC스틸,002710,2011/12,79633257,36286014,-10245999,514424043,8114981,84444856,225441968,4557868,0
(주)TCC스틸,002710,2012/12,100648536,41180366,-4610373,501337475,10432463,143845835,225998781,124581,0
(주)TCC스틸,002710,2013/12,117184576,38783690,-29220038,500832754,13182471,156557380,205738102,-19955830,0
(주)TCC스틸,002710,2014/12,124343812,37920178,-21440429,518995240,13854998,151621286,189038004,-15813610,0
(주)TCC스틸,002710,2015/12,48965898,38223007,30047778,495795871,7297746,71859909,86012476,-110218983,0
(주)TCC스틸,002710,2016/12,51850499,25582561,-35273178,444453635,6078027,64693517,103337634,16948843,0
(주)TCC스틸,002710,2017/12,52771855,20150484,-1168958,391370092,5220217,58943990,100915803,1503708,0
(주)TCC스틸,002710,2018/12,69197191,33048342,21492009,413176279,5179538,55878504,112246210,9755131,0
(주)TCC스틸,002710,2019/12,72619098,29636313,-6746810,437173902,5675854,59322335,116843135,5037267,0
(주)가비아,079940,2011/12,14450,434923,9650833,52838864,367186,22149161,48665742,7014899,719100
(주)가비아,079940,2012/12,248459,2521761,13224986,69058144,493791,37833915,58945247,9419144,1019486
(주)가비아,079940,2013/12,93612,1861578,12813443,70675565,444815,37047584,68600227,9505713,2215924
(주)가비아,079940,2014/12,0,2865111,16223625,80432047,340937,37099200,75509702,6752737,2192163
(주)가비아,079940,2015/12,0,2028679,19257887,91648622,175055,36916970,84096148,8530281,2536832
(주)가비아,079940,2016/12,1363738,5050880,17871404,102178978,150039,43221838,95951841,10177685,3274580
(주)가비아,079940,2017/12,1675464,7351096,20444884,116217941,236636,45452326,99896520,9669613,4699364
(주)가비아,079940,2018/12,1982294,3929911,21870330,128728438,291945,49107084,114187490,15340647,4633946
(주)가비아,079940,2019/12,2643604,4480341,36950567,148306878,693082,85359914,134959139,21102390,0
(주)가온칩스,399720,2018/12,,,,,,,,,
(주)가온칩스,399720,2019/12,,,,,,,,,
(주)강스템바이오텍,217730,2013/12,,,,,,,,,
(주)강스템바이오텍,217730,2014/12,,,,,,,,,
(주)강스템바이오텍,217730,2015/12,,,,,,,,,
(주)강스템바이오텍,217730,2016/12,,,,,,,,,
(주)강스템바이오텍,217730,2017/12,1725225,1239629,-10646869,9132939,1439546,13229478,24482163,-11531949,6714811
(주)강스템바이오텍,217730,2018/12,1918575,1787264,-11476851,9165454,949916,15140205,47581374,-14294032,6181361
(주)강스템바이오텍,217730,2019/12,266393,616805,-13321543,6004584,1076801,31219524,68719236,-26394472,12415383
(주)강원랜드,035250,2011/12,2245975,1884989,417827759,1265686425,427568,1312308962,2257362696,381175313,71679
(주)강원랜드,035250,2012/12,1200611,2232677,446539739,1296191223,715713,1357670542,2372026990,306228988,144553
(주)강원랜드,035250,2013/12,1493306,2218517,424407127,1361286598,272921,1385719165,2517696496,297596347,64208
(주)강원랜드,035250,2014/12,1204918,3263417,510413141,1496541441,247465,1387584592,2705357485,359348568,48445
(주)강원랜드,035250,2015/12,1621646,3607101,574981576,1633716839,226922,1353560925,2997755205,441629101,108201
(주)강원랜드,035250,2016/12,1309513,3084179,596486851,1696532511,739952,1315715882,3252727459,454533659,114514
(주)강원랜드,035250,2017/12,1299617,3361320,463050000,1604470055,236815,1297980610,3501235933,437540507,64234
(주)강원랜드,035250,2018/12,1148805,3561607,363918692,1438059299,234757,1314038393,3586777089,297236881,49171
(주)강원랜드,035250,2019/12,3636529,3857898,407868874,1520080449,1961001,1370568026,3717759076,334653892,60061
