거래소코드,회계년도,수정종가,회사명,시가총액,거래량회전율,로그시가총액,수정거래량,거래량증가율,시가총액증가율
20,2010,32025.0,동화약품보통주,894505326750.0,0.8913654741408168,11.951582931120544,777.4285089773614,,
20,2011,23400.0,동화약품보통주,653596398000.0,1.2858301406979296,11.815309650113964,1534.8344444444444,0.44253976399224526,-0.26932084309133486
20,2012,25312.5,동화약품보통주,707015334375.0,1.1469329756006397,11.849428833262564,1265.600948148148,-0.10802139466251626,0.08173076923076916
20,2013,26200.0,동화약품보통주,731804514000.0,0.7252120994705972,11.864395084023567,773.13893129771,-0.36769443821178016,0.03506172839506183
20,2014,25025.0,동화약품보통주,698985036750.0,0.7491849873995174,11.844467878855177,836.1973226773226,0.03305638163844815,-0.04484732824427484
20,2015,34175.0,동화약품보통주,954557987250.0,1.9442021490455033,11.979802315943681,1589.0102121433797,1.595089572995834,0.3656343656343657
20,2016,40650.0,동화약품보통주,1135414255500.0,2.5804148868641716,12.055154342633909,1773.0573431734317,0.3272358988652564,0.18946598390636438
20,2017,44650.0,동화약품보통주,1247140135500.0,1.2128129668792942,12.095915255928386,758.6931466965285,-0.5299930359830022,0.0984009840098401
20,2018,47425.0,동화약품보통주,1324649964750.0,1.6724287336112278,12.122101132264522,984.9951080653664,0.37896673212076326,0.06215005599104151
20,2019,44125.0,동화약품보통주,1232476113750.0,0.8109857447531404,12.0907785110997,513.3603172804533,-0.5150850206920314,-0.06958355297838692
30,2014,5000.0,우리은행보통주,,,,17936.422,,
30,2015,9305.0,우리은행보통주,,,,59871.15840945728,5.2119538556798,
30,2016,10675.0,우리은행보통주,,,,39153.484777517566,-0.24975300130831368,
30,2017,14175.0,우리은행보통주,,,,27930.070828924163,-0.05276704458248682,
30,2018,15750.0,우리은행보통주,,,,23679.686476190476,-0.0579772277528372,
30,2019,7700.0,우리은행보통주,,,,3018.9002597402596,-0.9376720297739248,
40,2010,6350.0,KR모터스보통주,757817756650.0,3.15258769550501,11.879564777139509,59249.47448818898,,
40,2011,6740.0,KR모터스보통주,804360894460.0,5.677390882168372,11.905450948382853,100526.35860534124,0.800866916489984,0.06141732283464574
40,2012,5925.0,KR모터스보통주,707097670575.0,7.2069620462488535,11.849479406529674,145162.6648101266,0.26941445389722607,-0.12091988130563802
40,2013,4670.0,KR모터스보통주,557324239930.0,0.7995740102852339,11.746107932413645,20433.033190578157,-0.8890553321698976,-0.21181434599156113
40,2014,7365.0,KR모터스보통주,878949256335.0,3.2285734690563612,11.943963803026183,52315.33061778683,3.037866948557551,0.5770877944325481
40,2015,11575.0,KR모터스보통주,2029187368300.0,2.823859917579007,12.307322150168783,42768.42920086393,0.28482084500847016,1.3086513284751011
40,2016,10840.0,KR모터스보통주,1909243498160.0,1.9731256564134179,12.28086132030748,32059.555719557196,-0.2979913194401519,-0.059109312434014294
40,2017,6065.0,KR모터스보통주,726342380355.0,1.460536667991904,11.861141384953557,28839.799670239077,-0.49668918475941615,-0.619565350854933
40,2018,4125.0,KR모터스보통주,781456809375.0,1.116466186656933,11.892904979836391,51274.6433939394,0.20921508665560395,0.07587940688943795
40,2019,3895.0,KR모터스보통주,737884672125.0,0.7563123998467621,11.86798848895903,36785.34094993582,-0.3225836940826571,-0.055757575757575784
50,2010,125500.0,경방보통주,261040000000.0,0.18196009615384615,11.41670706077982,3.015752988047809,,
50,2011,107400.0,경방보통주,223392000000.0,0.24487115384615385,11.349067616326298,4.742383612662942,0.3457409565178333,-0.14422310756972112
